CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
AT-30-01,,,,GI03FLMB-RI000-00-CTDMOH000,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01469,59.71823,-39.35362,,1822,2812,
AT-30-01,,,,GI03FLMB-RI000-00-CTDMOH100,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01472,59.71823,-39.35362,,2725,2812,
AT-30-01,,,,GI03FLMB-RI000-00-CTDMOH400,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01471,59.71823,-39.35362,,2424,2812,
AT-30-01,,,,GI03FLMB-RI000-00-CTDMOH700,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01470,59.71823,-39.35362,,2123,2812,
AT-30-01,,,,GI03FLMB-RI000-00-VELPTB000,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,N00520,59.71823,-39.35362,,1800,2812,
AT-30-01,,,,GI03FLMB-RI000-00-VELPTB100,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,N00523,59.71823,-39.35362,,2700,2812,
AT-30-01,,,,GI03FLMB-RI000-00-VELPTB400,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,N00522,59.71823,-39.35362,,2400,2812,
AT-30-01,,,,GI03FLMB-RI000-00-VELPTB700,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,N00521,59.71823,-39.35362,,2100,2812,
AT-30-01,,,,GI03FLMB-RIM01-00-SIOENG000,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,OL000026,59.71823,-39.35362,,1510,2812,deployment_depth placeholder: design depth
AT-30-01,,,,GI03FLMB-RIM01-02-ADCPSL007,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01510,59.71823,-39.35362,,500,2812,deployment_depth placeholder: design depth
AT-30-01,,,,GI03FLMB-RIM01-02-CTDMOG060,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01449,59.71823,-39.35362,,30,2812,deployment_depth placeholder: design depth
AT-30-01,,,,GI03FLMB-RIM01-02-CTDMOG061,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01450,59.71823,-39.35362,,39,2812,
AT-30-01,,,,GI03FLMB-RIM01-02-CTDMOG062,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01451,59.71823,-39.35362,,59,2812,
AT-30-01,,,,GI03FLMB-RIM01-02-CTDMOG063,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01452,59.71823,-39.35362,,90,2812,
AT-30-01,,,,GI03FLMB-RIM01-02-CTDMOG064,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01453,59.71823,-39.35362,,130,2812,
AT-30-01,,,,GI03FLMB-RIM01-02-CTDMOG065,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01454,59.71823,-39.35362,,180,2812,
AT-30-01,,,,GI03FLMB-RIM01-02-CTDMOG066,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01455,59.71823,-39.35362,,250,2812,
AT-30-01,,,,GI03FLMB-RIM01-02-CTDMOG067,2,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,A01456,59.71823,-39.35362,,350,2812,
