CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
MV-1404,,,,GP03FLMA-RIM01-00-SIOENG000,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,OL000089,49.9775,-144.24567,,1506,4237,
MV-1404,,,,GP03FLMA-RIM01-02-ADCPSL003,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A00568,49.9775,-144.24567,,500,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOG040,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01394,49.9775,-144.24567,,28,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOG041,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01389,49.9775,-144.24567,,39,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOG042,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01395,49.9775,-144.24567,,59,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOG043,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A00114,49.9775,-144.24567,,89,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOG044,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01396,49.9775,-144.24567,,129,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOG045,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01397,49.9775,-144.24567,,179,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOG046,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01399,49.9775,-144.24567,,250,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOG047,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A00107,49.9775,-144.24567,,350,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOG048,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01401,49.9775,-144.24567,,500,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOH049,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01410,49.9775,-144.24567,,748,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOH050,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01408,49.9775,-144.24567,,999,4237,
MV-1404,,,,GP03FLMA-RIM01-02-CTDMOH051,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01412,49.9775,-144.24567,,1500,4237,
MV-1404,,,,GP03FLMA-RIS01-00-SIOENG000,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,OL000090,49.9775,-144.24567,,28,4237,
MV-1404,,,,GP03FLMA-RIS01-03-DOSTAD000,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A00169,49.9775,-144.24567,,28,4237,
MV-1404,,,,GP03FLMA-RIS01-04-PHSENF000,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A01502,49.9775,-144.24567,,28,4237,
MV-1404,,,,GP03FLMA-RIS01-05-FLORTD000,2,1,2014-06-17T06:00:00,2015-06-05T00:00:00,CGMGP-03FLMA-00002,,A00470,49.9775,-144.24567,,28,4237,
