CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
RB-16-05,,,,GP05MOAS-GL363-00-ENG000000,2,1,2016-06-30T02:30:00,2016-07-05T00:00:00,N00280,A00378,OL000126,50.16648,-144.50107,,,,
RB-16-05,,,,GP05MOAS-GL363-01-FLORDM000,2,1,2016-06-30T02:30:00,2016-07-05T00:00:00,N00280,A00378,N00631,50.16648,-144.50107,,,,
RB-16-05,,,,GP05MOAS-GL363-02-DOSTAM000,2,1,2016-06-30T02:30:00,2016-07-05T00:00:00,N00280,A00378,N00630,50.16648,-144.50107,,,,
RB-16-05,,,,GP05MOAS-GL363-04-CTDGVM000,2,1,2016-06-30T02:30:00,2016-07-05T00:00:00,N00280,A00378,N00629,50.16648,-144.50107,,,,
RB-16-05,,,,GP05MOAS-GL365-00-ENG000000,2,1,2016-06-27T15:35:00,2017-07-01T00:00:00,N00280,A00380,OL000128,50.16558,-144.50077,,,,
RB-16-05,,,,GP05MOAS-GL365-01-FLORDM000,2,1,2016-06-27T15:35:00,2017-07-01T00:00:00,N00280,A00380,N00637,50.16558,-144.50077,,,,
RB-16-05,,,,GP05MOAS-GL365-02-DOSTAM000,2,1,2016-06-27T15:35:00,2017-07-01T00:00:00,N00280,A00380,N00639,50.16558,-144.50077,,,,
RB-16-05,,,,GP05MOAS-GL365-04-CTDGVM000,2,1,2016-06-27T15:35:00,2017-07-01T00:00:00,N00280,A00380,N00635,50.16558,-144.50077,,,,
TN-323,,,,GP05MOAS-PG514-00-ENG000000,2,1,2015-06-02T10:00:00,2015-11-16T00:00:00,N00280,A01222,OL000133,50.16692,-144.5453,,,,
TN-323,,,,GP05MOAS-PG514-01-CTDGVM000,2,1,2015-06-02T10:00:00,2015-11-16T00:00:00,N00280,A01222,N00650,50.16692,-144.5453,,,,
TN-323,,,,GP05MOAS-PG514-02-DOSTAM000,2,1,2015-06-02T10:00:00,2015-11-16T00:00:00,N00280,A01222,N00651,50.16692,-144.5453,,,,
TN-323,,,,GP05MOAS-PG514-05-NUTNRM000,2,1,2015-06-02T10:00:00,2015-11-16T00:00:00,N00280,A01222,N00652,50.16692,-144.5453,,,,
TN-323,,,,GP05MOAS-PG515-00-ENG000000,2,1,2015-06-02T09:55:00,2016-02-18T00:00:00,N00280,A01223,OL000134,50.16765,-144.5446,,,,
TN-323,,,,GP05MOAS-PG515-01-CTDGVM000,2,1,2015-06-02T09:55:00,2016-02-18T00:00:00,N00280,A01223,N00653,50.16765,-144.5446,,,,
TN-323,,,,GP05MOAS-PG515-03-FLORTM000,2,1,2015-06-02T09:55:00,2016-02-18T00:00:00,N00280,A01223,N00654,50.16765,-144.5446,,,,
TN-323,,,,GP05MOAS-PG515-04-FLORTO000,2,1,2015-06-02T09:55:00,2016-02-18T00:00:00,N00280,A01223,OL000616,50.16765,-144.5446,,,,
TN-323,,,,GP05MOAS-PG515-06-PARADM000,2,1,2015-06-02T09:55:00,2016-02-18T00:00:00,N00280,A01223,N00655,50.16765,-144.5446,,,,
