OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00289,CE02SHBP-MJ01C,,Mooring,CE02SHBP-MJ01C,8/1/2015,
N00697,,CAMDS S/N,Sensor,0484-6002-108,,
ATOSU-63259-00003,,ZPLSC S/N,Sensor,5,,
,,,,,,
N00290,CE02SHBP-LJ01D,,Mooring,CE02SHBP-LJ01D,8/1/2015,
N00698,,HYDBB S/N,Sensor,U1411,,
A00242,,ADCPT S/N,Sensor,19003,,
A01673,,CTDBP S/N,Sensor,16-50114,,
A00804,,DOSTA S/N,Sensor,311,,
N00762,,VEL3D S/Nsensor,,5157,,
A01647,,PCO2W S/N,Sensor,C0118,,
A01426,,PHSEN S/N,Sensor,P0159,,
A01649,,OPTAA S/N,Sensor,ACS-221,,
