OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-65244-030-0025,CE02SHBP-MJ01C,,Mooring,SN0025,9/10/2014,
N00692,,CE02SHBP-MJ01C-07-ZPLSCB101,Sensor,1,,
N00694,,CE02SHBP-MJ01C-08-CAMDSB107,Sensor,0484-6002-0100,,
,,,,,,
ATAPL-65244-030-0025,CE02SHBP-MJ01C,,Mooring,SN0025,8/2/2015,
ATOSU-63259-00003,,CE02SHBP-MJ01C-07-ZPLSCB101,Sensor,5,,
ATAPL-58317-00006,,CE02SHBP-MJ01C-08-CAMDSB107,Sensor,108,,
,,,,,,
ATAPL-65244-030-0025,CE02SHBP-MJ01C,,Mooring,SN0025,8/2/2015,
ATOSU-63259-00001,,CE02SHBP-MJ01C-07-ZPLSCB101,Sensor,3,,
ATOSU-58317-00012,,CE02SHBP-MJ01C-08-CAMDSB107,Sensor,117,,
,,,,,,
ATAPL-65310-040-006,CE02SHBP-LJ01D,,Mooring,SN0006,9/10/2014,
A00057,,CE02SHBP-LJ01D-05-ADCPTB104,Sensor,18493,,
N00696,,CE02SHBP-LJ01D-06-CTDBPN106,Sensor,7230,,
A00426,,CE02SHBP-LJ01D-06-DOSTAD106,Sensor,216,,
A00246,,CE02SHBP-LJ01D-07-VEL3DC108,Sensor,8167,,
A01057,,CE02SHBP-LJ01D-08-OPTAAD106,Sensor,169,,
A00265,,CE02SHBP-LJ01D-09-PCO2WB103,Sensor,C0064,,
A00627,,CE02SHBP-LJ01D-10-PHSEND103,Sensor,P0116,,
N00695,,CE02SHBP-LJ01D-11-HYDBBA106,Sensor,1248,,
,,,,,,
ATAPL-65310-820-0009,CE02SHBP-LJ01D,,Mooring,SN0009,8/2/2015,
ATOSU-69826-00002,,CE02SHBP-LJ01D-05-ADCPTB104,Sensor,19003,,
ATOSU-69827-00002,,CE02SHBP-LJ01D-06-CTDBPN106,Sensor,16-50114,,
ATOSU-58320-00019,,CE02SHBP-LJ01D-06-DOSTAD106,Sensor,311,,
ATOSU-69829-00001,,CE02SHBP-LJ01D-07-VEL3DC108,Sensor,5157,,
ATOSU-58332-00008,,CE02SHBP-LJ01D-08-OPTAAD106,Sensor,221,,
A01647,,CE02SHBP-LJ01D-09-PCO2WB103,Sensor,C0118,,
A01426,,CE02SHBP-LJ01D-10-PHSEND103,Sensor,P0159,,
N00698,,CE02SHBP-LJ01D-11-HYDBBA106,Sensor,1411,,
,,,,,,
ATAPL-65310-820-0009,CE02SHBP-LJ01D,,Mooring,SN0006,7/22/2016,
ATOSU-69826-00001,,CE02SHBP-LJ01D-05-ADCPTB104,Sensor,18493,,
ATOSU-69827-00003,,CE02SHBP-LJ01D-06-CTDBPN106,Sensor,16P71879-7248,,
ATOSU-58320-00020,,CE02SHBP-LJ01D-06-DOSTAD106,Sensor,216,,
ATOSU-69829-00003,,CE02SHBP-LJ01D-07-VEL3DC108,Sensor,8167,,
ATOSU-69943-00012,,CE02SHBP-LJ01D-08-OPTAAD106,Sensor,243,,
ATOSU-70570-00001,,CE02SHBP-LJ01D-09-PCO2WB103,Sensor,C0064,,
ATOSU-70571-00001,,CE02SHBP-LJ01D-10-PHSEND103,Sensor,P0116,,
ATOSU-58324-00014,,CE02SHBP-LJ01D-11-HYDBBA106,Sensor,1248,,
