OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-71403-00004,CE04OSPD-DP01B,,Mooring,CE04OSPD-DP01B-00001,8/16/2014,
ATAPL-67977-00003,,CE04OSPD-DP01B-01-CTDPFL105,Sensor,5277187-0138,,
ATAPL-58346-00003,,CE04OSPD-DP01B-02-VEL3DA105,Sensor,1131,,
ATAPL-70111-00003,,CE04OSPD-DP01B-04-FLCDRA103,Sensor,3400,,
ATAPL-70110-00003,,CE04OSPD-DP01B-04-FLNTUA103,Sensor,3398,,
ATOSU-58320-00008,,CE04OSPD-DP01B-06-DOSTAD105,Sensor,137,,
,,,,,,
ATAPL-71403-00005,CE04OSPD-DP01B,,Mooring,CE04OSPD-DP01B-00001,7/24/2015,
ATAPL-67977-00006,,CE04OSPD-DP01B-01-CTDPFL105,Sensor,52-0146,,
ATAPL-58346-00007,,CE04OSPD-DP01B-02-VEL3DA105,Sensor,1216,,
ATAPL-70111-00006,,CE04OSPD-DP01B-04-FLCDRA103,Sensor,3717,,
ATAPL-70110-00006,,CE04OSPD-DP01B-04-FLNTUA103,Sensor,3762,,
ATOSU-58320-00018,,CE04OSPD-DP01B-06-DOSTAD105,Sensor,317,,
,,,,,,
ATAPL-71403-00005,CE04OSPD-DP01B,,Mooring,CE04OSPD-DP01B-00001,7/24/2015,
ATOSU-67977-00007,,CE04OSPD-DP01B-01-CTDPFL105,Sensor,5277187-0138,,
ATOSU-58346-00008,,CE04OSPD-DP01B-02-VEL3DA105,Sensor,1131,,
ATAPL-70111-00003,,CE04OSPD-DP01B-03-FLCDRA103,Sensor,3400,,
ATAPL-70110-00003,,CE04OSPD-DP01B-04-FLNTUA103,Sensor,3398,,
ATOSU-58320-00008,,CE04OSPD-DP01B-06-DOSTAD105,Sensor,137,,
