OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-69839-002-0102,CE04OSPS-PC01B,,Mooring,SN0102,8/30/2014,
ATOSU-63259-00001,,CE04OSPS-PC01B-05-ZPLSCB102,Sensor,3,,
ATAPL-66662-00009,,CE04OSPS-PC01B-4A-CTDPFA109,Sensor,16-50018,,
ATAPL-58320-00007,,CE04OSPS-PC01B-4A-DOSTAD109,Sensor,215,,
ATOSU-58337-00007,,CE04OSPS-PC01B-4B-PHSENA106,Sensor,P0115,,
ATOSU-58336-00005,,CE04OSPS-PC01B-4C-PCO2WA105,Sensor,C0078,,
,,,,,,
ATAPL-69839-002-0105,CE04OSPS-PC01B,,Mooring,SN0105,8/3/2015,
ATOSU-66662-00014,,CE04OSPS-PC01B-4A-CTDPFA109,Sensor,16-50113,,
ATOSU-58320-00017,,CE04OSPS-PC01B-4A-DOSTAD109,Sensor,316,,
ATOSU-58337-00012,,CE04OSPS-PC01B-4B-PHSENA106,Sensor,P0154,,
ATOSU-58336-00008,,CE04OSPS-PC01B-4C-PCO2WA105,Sensor,C0117,,
ATOSU-63259-00002,,CE04OSPS-PC01B-05-ZPLSCB102,Sensor,4,,
,,,,,,
ATAPL-69839-002-0105,CE04OSPS-PC01B,,Mooring,SN0102,7/19/2016,
ATOSU-66662-00006,,CE04OSPS-PC01B-4A-CTDPFA109,Sensor,16-50018,,
ATOSU-58320-00007,,CE04OSPS-PC01B-4A-DOSTAD109,Sensor,215,,
ATOSU-58337-00007,,CE04OSPS-PC01B-4B-PHSENA106,Sensor,P0115,,
ATOSU-58336-00006,,CE04OSPS-PC01B-4D-PCO2WA105,Sensor,C0079,,
ATOSU-63259-00005,,CE04OSPS-PC01B-05-ZPLSCB102,Sensor,2,,
,,,,,,
ATAPL-68870-002-0141,CE04OSPS-SF01B,,Mooring,SN0141,8/30/2014,
ATOSU-66662-00007,,CE04OSPS-SF01B-2A-CTDPFA107,Sensor,16-50019,,
ATAPL-58694-00004,,CE04OSPS-SF01B-2A-DOFSTA107,Sensor,43-2853,,
ATOSU-58337-00008,,CE04OSPS-SF01B-2B-PHSENA108,Sensor,P0131,,
ATOSU-58322-00008,,CE04OSPS-SF01B-3A-FLORTD104,Sensor,1150,,
A00131,,CE04OSPS-SF01B-3B-OPTAAD105,Sensor,128,,
ATOSU-66645-00005,,CE04OSPS-SF01B-3C-PARADA102,Sensor,434,,
A00434,,CE04OSPS-SF01B-3D-SPKIRA102,Sensor,241,,
ATAPL-68020-00005,,CE04OSPS-SF01B-4A-NUTNRA102,Sensor,344,,
A00238,,CE04OSPS-SF01B-4B-VELPTD106,Sensor,8399,,
ATOSU-58336-00006,,CE04OSPS-SF01B-4F-PCO2WA102,Sensor,C0079,,
,,,,,,
ATAPL-68870-002-0144,CE04OSPS-SF01B,,Mooring,SN0144,8/3/2015,
ATOSU-66662-00013,,CE04OSPS-SF01B-2A-CTDPFA107,Sensor,16-50112,,
ATOSU-58694-00007,,CE04OSPS-SF01B-2A-DOFSTA107,Sensor,43-3136,,
ATOSU-58337-00011,,CE04OSPS-SF01B-2B-PHSENA108,Sensor,P0153,,
ATOSU-58322-00013,,CE04OSPS-SF01B-3A-FLORTD104,Sensor,1289,,
ATOSU-58332-00007,,CE04OSPS-SF01B-3B-OPTAAD105,Sensor,223,,
ATAPL-66645-00004,,CE04OSPS-SF01B-3C-PARADA102,Sensor,507,,
ATOSU-58341-00008,,CE04OSPS-SF01B-3D-SPKIRA102,Sensor,251,,
ATOSU-68020-00008,,CE04OSPS-SF01B-4A-NUTNRA102,Sensor,625,,
ATOSU-70114-10008,,CE04OSPS-SF01B-4B-VELPTD106,Sensor,AQD-12692,,
ATOSU-58336-00007,,CE04OSPS-SF01B-4F-PCO2WA102,Sensor,C0116,,
,,,,,,
ATAPL-68870-002-0144,CE04OSPS-SF01B,,Mooring,SN0140,7/19/2016,
ATOSU-66662-00007,,CE04OSPS-SF01B-2A-CTDPFA107,Sensor,16-50019,,
ATAPL-58694-00004,,CE04OSPS-SF01B-2A-DOFSTA107,Sensor,43-2853,,
ATOSU-58337-00008,,CE04OSPS-SF01B-2B-PHSENA108,Sensor,P0131,,
ATOSU-58322-00008,,CE04OSPS-SF01B-3A-FLORTD104,Sensor,1150,,
ATAPL-69943-00009,,CE04OSPS-SF01B-3B-OPTAAD105,Sensor,250,,
ATOSU-66645-00005,,CE04OSPS-SF01B-3C-PARADA102,Sensor,434,,
ATOSU-58341-00005,,CE04OSPS-SF01B-3D-SPKIRA102,Sensor,341,,
ATAPL-68020-00005,,CE04OSPS-SF01B-4A-NUTNRA102,Sensor,344,,
ATAPL-70114-00004,,CE04OSPS-SF01B-4B-VELPTD106,Sensor,"AQS-6802, AQD-11930",,
ATOSU-58336-00005,,CE04OSPS-SF01B-4F-PCO2WA102,Sensor,C0078,,
