OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00202,CP04OSSM-00001,,Mooring,CP04OSSM-00001,4/7/2015,
,,FDCHP (anemometer) S/N,,N/A,,
,,FDCHP (housing) S/N,,N/A,,
N00735,,METBK-Log S/N,Sensor,LGR009,,
N00735,,METBK-BPR S/N,Sensor,LGR009,,
N00735,,METBK-CT S/N,Sensor,LGR009,,
N00735,,METBK-HRH S/N,Sensor,LGR009,,
N00735,,METBK-LWR S/N,Sensor,LGR009,,
N00735,,METBK-PRC S/N,Sensor,LGR009,,
N00735,,METBK-SWR S/N,Sensor,LGR009,,
N00735,,METBK-WND S/N,Sensor,LGR009,,
,,METBK-Log S/N,,N/A,,
,,METBK-BPR S/N,,N/A,,
,,METBK-CT S/N,,N/A,,
,,METBK-HRH S/N,,N/A,,
,,METBK-LWR S/N,,N/A,,
,,METBK-PRC S/N,,N/A,,
,,METBK-SWR S/N,,N/A,,
,,METBK-WND S/N,,N/A,,
A01048,,PCO2A S/N,Sensor,33-199-50A,,
A01021,,VELPT S/N,Sensor,AQD 11748,,
A00796,,WAVSS S/N,Sensor,5301,,
,,MOPAK S/N,,,,
A00244,,ADCP S/N,Sensor,19002,,
A01033,,CTDBP S/N,Sensor,16-50012,,
A00802,,DOSTA S/N,Sensor,291,,
A00696,,FLORT S/N,Sensor,1151,,
A00125,,NUTNR S/N,Sensor,256,,
,,NUTNR Batt S/N,,,,
A00907,,OPTAA S/N,Sensor,ACS-183,,
,,PCO2W S/N,,,,
A00662,,PHSEN S/N,Sensor,P0124,,
A00664,,SPKIR S/N,Sensor,249,,
A01020,,VELPT S/N,Sensor,AQD 11787,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
,,ADCP S/N,,,,
,,CAMDS S/N,,,,
,,CTDBP S/N,,,,
,,DOSTA S/N,,,,
,,OPTAA S/N,,,,
,,PCO2W S/N,,,,
,,PHSEN S/N,,,,
,,PRESF S/N,,,,
,,VELPT S/N,,,,
,,VEL3D S/N,,,,
,,ZPLSC S/N,,,,
