OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A00045,CE05MOAS-GL247,,Platform,247,10/6/2014,
N00668,,ADCP S/N,Sensor,642931,,
N00669,,CTDGV S/N,Sensor,9014,,
N00670,,DOSTA S/N,Sensor,26,,
N00671,,FLORT S/N,Sensor,2760,,
N00672,,PARAD S/N,Sensor,50145,,
,,,,,,
A00078,CE05MOAS-GL311,,Platform,311,10/6/2014,
N00300,,ADCP S/N,Sensor,642931,,
N00302,,CTDGV S/N,Sensor,9014,,
N00303,,DOSTA S/N,Sensor,26,,
N00301,,FLORT S/N,Sensor,2760,,
N00304,,PARAD S/N,Sensor,50145,,
,,,,,,
A00079,CE05MOAS-GL312,,Platform,312,7/15/2014,
N00305,,ADCP S/N,Sensor,642932,,
N00307,,CTDGV S/N,Sensor,9015,,
N00308,,DOSTA S/N,Sensor,27,,
N00306,,FLORT S/N,Sensor,2761,,
N00309,,PARAD S/N,Sensor,50146,,
,,,,,,
A00079,CE05MOAS-GL312,,Platform,312,6/3/2015,
N00305,,ADCP S/N,Sensor,642932,,
N00307,,CTDGV S/N,Sensor,9015,,
N00308,,DOSTA S/N,Sensor,29,,
N00306,,FLORT S/N,Sensor,2761,,
N00309,,PARAD S/N,Sensor,50146,,
,,,,,,
A00101,CE05MOAS-GL319,,Platform,319,4/20/2014,
N00310,,ADCP S/N,Sensor,642443,,
N00312,,CTDGV S/N,Sensor,29,,
N00313,,DOSTA S/N,Sensor,9023,,
N00311,,FLORT S/N,Sensor,2762,,
N00314,,PARAD S/N,Sensor,50147,,
,,,,,,
A00101,CE05MOAS-GL319,,Platform,319,10/8/2015,
N00310,,ADCP S/N,Sensor,642443,,
N00312,,CTDGV S/N,Sensor,27,,
N00308,,DOSTA S/N,Sensor,9023,,
N00405,,FLORT S/N,Sensor,3921,,
N00404,,PARAD S/N,Sensor,50203,,
,,,,,,
A00102,CE05MOAS-GL320,,Platform,320,10/7/2014,
N00315,,ADCP S/N,Sensor,643105,,
N00317,,CTDGV S/N,Sensor,9024,,
N00318,,DOSTA S/N,Sensor,19,,
N00316,,FLORT S/N,Sensor,2786,,
N00319,,PARAD S/N,Sensor,50148,,
,,,,,,
A00158,CE05MOAS-GL326,,Platform,326,4/10/2015,
N00320,,ADCP S/N,Sensor,643473,,
N00322,,CTDGV S/N,Sensor,9026,,
N00323,,DOSTA S/N,Sensor,30,,
N00321,,FLORT S/N,Sensor,2806,,
N00324,,PARAD S/N,Sensor,50149,,
,,,,,,
A00159,CE05MOAS-GL327,,Platform,327,6/3/2015,
N00325,,ADCP S/N,Sensor,643474,,
N00327,,CTDGV S/N,Sensor,9027,,
N00328,,DOSTA S/N,Sensor,100,,
N00326,,FLORT S/N,Sensor,2807,,
N00329,,PARAD S/N,Sensor,50150,,
,,,,,,
A00393,CE05MOAS-GL381,,Platform,381,1/3/2015,
N00330,,ADCP S/N,Sensor,649697,,
N00332,,CTDGV S/N,Sensor,9056,,
N00333,,DOSTA S/N,Sensor,190,,
N00331,,FLORT S/N,Sensor,3131,,
N00334,,PARAD S/N,Sensor,50160,,
,,,,,,
A00394,CE05MOAS-GL382,,Platform,382,1/21/2015,
N00335,,ADCP S/N,Sensor,648292,,
N00337,,CTDGV S/N,Sensor,9059,,
N00338,,DOSTA S/N,Sensor,191,,
N00336,,FLORT S/N,Sensor,3185,,
N00339,,PARAD S/N,Sensor,50161,,
,,,,,,
A00471,CE05MOAS-GL383,,Platform,383,1/21/2015,
N00043,,ADCP S/N,Sensor,649982,,
N00342,,CTDGV S/N,Sensor,9060,,
N00343,,DOSTA S/N,Sensor,194,,
N00341,,FLORT S/N,Sensor,3188,,
N00344,,PARAD S/N,Sensor,50162,,
,,,,,,
A00801,CE05MOAS-GL384,,Platform,384,4/11/2015,
N00345,,ADCP S/N,Sensor,650864,,
N00347,,CTDGV S/N,Sensor,9085,,
N00348,,DOSTA S/N,Sensor,195,,
N00346,,FLORT S/N,Sensor,3189,,
N00349,,PARAD S/N,Sensor,50163,,
,,,,,,
A00473,CE05MOAS-GL386,,Platform,386,4/20/2014,
N00350,,ADCP S/N,Sensor,652696,,
N00352,,CTDGV S/N,Sensor,9086,,
N00353,,DOSTA S/N,Sensor,176,,
N00351,,FLORT S/N,Sensor,3186,,
N00354,,PARAD S/N,Sensor,50164,,
