OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments,,
A00226,CE06ISSM-00001,,Mooring,CE06ISSM-00001,10/7/2014,,,
,,VELPT S/N,,N/A,,,,
A00474,,FLORT S/N,Sensor,1121,,,,
A00129,,CTDBP S/N,Sensor,16P71879-7243,,,,
,,WAVSS S/N,,,,,,
R00000,,MOPAK S/N,,CE06ISSM-00001-MOPAK,,,,
,,ADCP S/N,,,,,,
A01035,,CTDBP S/N,Sensor,16-50006,,,,
A00430,,DOSTA S/N,Sensor,220,,,,
A00219,,FLORT S/N,Sensor,996,,,,
A00087,,NUTNR S/N,Sensor,244,,,,
,,NUTNR Batt S/N,,,,,,
,,OPTAA S/N,Sensor,N/A,,,,
A00074,,PCO2W S/N,Sensor,C0053,,,,
,,PHSEN S/N,,N/A,,,,
A00095,,SPKIR S/N,Sensor,232,,,,
,,VELPT S/N,,N/A,,,,
,,MFN AcousticRelease S/N,,,,,,
,,MFN AcousticRelease S/N,,,,,,
,,ARM AcousticRelease S/N,,,,,,
A00245,,ADCP S/N,Sensor,19023,,,,
,,CAMDS S/N,,N/A,,,,
A00128,,CTDBP S/N,Sensor,16P71879-7242,,,,
A00431,,DOSTA S/N,Sensor,221,,,,
,,OPTAA S/N,,N/A,,,,
A00259,,PCO2W S/N,Sensor,C0062,,,,
,,PHSEN S/N,,N/A,,,,
A00052,,PRESF S/N,Sensor,26P64515-1328,,,,
,,VELPT S/N,,N/A,,,,
A01028,,VEL3D S/N,Sensor,11084,,,,
,,ZPLSC S/N,,N/A,,,,
R00001,,CE06ISSM-00001-CPM1,,CE06ISSM-00001-CPM1,,,,
R00002,,CE06ISSM-00001-CPM3,,CE06ISSM-00001-CPM3,,,,
R00003,,CE06ISSM-00001-DCL17,,CE06ISSM-00001-DCL17,,,,
R00004,,CE06ISSM-00001-DCL16,,CE06ISSM-00001-DCL16,,,,
R00005,,CE06ISSM-00001-DCL35,,CE06ISSM-00001-DCL35,,,,
R00006,,CE06ISSM-00001-DCL37,,CE06ISSM-00001-DCL37,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
