OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00271,CE07SHSM-00002,,Mooring,CE07SHSM-00002,10/13/2015,
N00736,,METBK-Log S/N,Sensor,LGR27,,
N00736,,METBK-BPR S/N,Sensor,LGR27,,
N00736,,METBK-CT S/N,Sensor,LGR27,,
N00736,,METBK-HRH S/N,Sensor,LGR27,,
N00736,,METBK-LWR S/N,Sensor,LGR27,,
N00736,,METBK-PRC S/N,Sensor,LGR27,,
N00736,,METBK-SWR S/N,Sensor,LGR27,,
N00736,,METBK-WND S/N,Sensor,LGR27,,
A01680,,PCO2WA S/N,Sensor,35-256-50A,,
A01753,,VELPT S/N,Sensor,AQD 12712,,
A01670,,WAVSS S/N,Sensor,6281,,
,,MOPAK S/N,,,,
A01248,,ADCP S/N,Sensor,22809,,
A01034,,CTDBP S/N,Sensor,16-50015,,
A01692,,DOSTA S/N,Sensor,483,,
A01431,,FLORT S/N,Sensor,1302,,
A01779,,NUTNR S/N,Sensor,288,,
,,NUTNR Batt S/N,,,,
N00678,,OPTAA S/N,Sensor,ACS-260,,
,,PCO2W S/N,,N/A,,
A00262,,PHSEN S/N,Sensor,P0085,,
A00095,,SPKIR S/N,Sensor,232,,
A01751,,VELPT S/N,Sensor,AQD 12703,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
A01055,,ADCP S/N,Sensor,22114,,
N00679,,CAMDS S/N,Sensor,0484-6100-0111,,
A01035,,CTDBP S/N,Sensor,16-50006,,
A01689,,DOSTA S/N,Sensor,479,,
A01056,,OPTAA S/N,Sensor,ACS-182,,
A01648,,PCO2W S/N,Sensor,C0119,,
A01042,,PHSEN S/N,Sensor,P0123,,
N00680,,PRESF S/N,Sensor,26-1396,,
,,VELPT S/N,,N/A,,
A01620,,VEL3D S/N,Sensor,12266,,
N00681,,ZPLSC S/N,Sensor,55098,,
