OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00207,CP01CNSM-00004,,Mooring,CP01CNSM-00004,10/23/2015,
,,FDCHP (anemometer) S/N,,,,
,,FDCHP (housing) S/N,,,,
N00751,,METBK-Log S/N,Sensor,,,
N00751,,METBK-BPR S/N,Sensor,,,
N00751,,METBK-CT S/N,Sensor,,,
N00751,,METBK-HRH S/N,Sensor,,,
N00751,,METBK-LWR S/N,Sensor,,,
N00751,,METBK-PRC S/N,Sensor,,,
N00751,,METBK-SWR S/N,Sensor,,,
N00751,,METBK-WND S/N,Sensor,,,
N00752,,METBK-Log S/N,Sensor,,,
N00752,,METBK-BPR S/N,Sensor,,,
N00752,,METBK-CT S/N,Sensor,,,
N00752,,METBK-HRH S/N,Sensor,,,
N00752,,METBK-LWR S/N,Sensor,,,
N00752,,METBK-PRC S/N,Sensor,,,
N00752,,METBK-SWR S/N,Sensor,,,
N00752,,METBK-WND S/N,Sensor,,,
A01710,,PCO2A S/N,Sensor,35-262-50A,,
A00115,,VELPT S/N,Sensor,AQD 8532,,
A01435,,WAVSS S/N,Sensor,6271,,
,,MOPAK S/N,,,,
,,ADCP S/N,,N/A,,
A00697,,CTDBP S/N,Sensor,16-50002,,
N00725,,DOSTA S/N,Sensor,514,,
A00994,,FLORT S/N,Sensor,1221,,
A01639,,NUTNR S/N,Sensor,284,,
,,NUTNR Batt S/N,Sensor,,,
A00573,,OPTAA S/N,Sensor,ACS-151,,
,,PCO2W S/N,,N/A,,
A00096,,PHSEN S/N,Sensor,P0068,,
A01533,,SPKIR S/N,Sensor,291,,
A00115,,VELPT S/N,Sensor,AQD 11382,,
,,MFN AcousticRelease S/N,,N/A,,
,,MFN AcousticRelease S/N,,N/A,,
,,ARM AcousticRelease S/N,,N/A,,
,,ADCP S/N,,N/A,,
,,CAMDS S/N,,N/A,,
,,CTDBP S/N,,N/A,,
,,DOSTA S/N,,N/A,,
,,OPTAA S/N,,N/A,,
,,PCO2W S/N,,N/A,,
,,PHSEN S/N,,N/A,,
,,PRESF S/N,,N/A,,
,,VELPT S/N,,N/A,,
,,VEL3D S/N,,N/A,,
,,ZPLSC S/N,,N/A,,
