OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00242,CP03ISSM-00002,,Mooring,CP03ISSM-00002,5/9/2015,
N00756,,METBK-Log S/N,Sensor,CP03ISSM-00002-METBK,,
N00756,,METBK-BPR S/N,Sensor,,,
N00756,,METBK-CT S/N,Sensor,,,
N00756,,METBK-HRH S/N,Sensor,,,
N00756,,METBK-LWR S/N,Sensor,,,
N00756,,METBK-PRC S/N,Sensor,,,
N00756,,METBK-SWR S/N,Sensor,,,
N00756,,METBK-WND S/N,Sensor,,,
,,METBK-Log S/N,,N/A,,
,,METBK-BPR S/N,,N/A,,
,,METBK-CT S/N,,N/A,,
,,METBK-HRH S/N,,N/A,,
,,METBK-LWR S/N,,N/A,,
,,METBK-PRC S/N,,N/A,,
,,METBK-SWR S/N,,N/A,,
,,METBK-WND S/N,,N/A,,
A01216,,PCO2A S/N,Sensor,34-231-50A,,
,,VELPT S/N,,N/A,,
,,WAVSS S/N,,N/A,,
,,MOPAK S/N,,,,
,,ADCP S/N,,N/A,,
A01089,,CTDBP S/N,Sensor,16-50056,,
A00166,,DOSTA S/N,Sensor,130,,
A00995,,FLORT S/N,Sensor,1222,,
A01142,,NUTNR S/N,Sensor,270,,
,,NUTNR Batt S/N,,,,
A01111,,OPTAA S/N,Sensor,ACS-193,,
,,PCO2W S/N,,N/A,,
A00392,,PHSEN S/N,Sensor,P0100,,
A00976,,SPKIR S/N,Sensor,273,,
A01072,,VELPT S/N,Sensor,AQD 12203,,
A00767,,MFN AcousticRelease S/N,,,,
A00770,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
A00072,,ADCP S/N,Sensor,18594,,
,,CAMDS S/N,,N/A,,
A01106,,CTDBP S/N,Sensor,16-50058,,
A00398,,DOSTA S/N,Sensor,225,,
A00179,,OPTAA S/N,Sensor,ACS-130,,
A01009,,PCO2W S/N,Sensor,C0098,,
A00388,,PHSEN S/N,Sensor,P0095,,
A00051,,PRESF S/N,Sensor,26P64515-1329,,
A01068,,VELPT S/N,Sensor,AQD 12234,,
,,VEL3D S/N,,N/A,,
,,ZPLSC S/N,,N/A,,
