OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00203,CP04OSSM-00002,,Mooring,CP04OSSM-00002,5/9/2015,
,,FDCHP (anemometer) S/N,,N/A,,
,,FDCHP (housing) S/N,,N/A,,
N00754,,METBK-Log S/N,,CP04OSSM-00002-METBK,,
A00199,,METBK-BPR S/N,Sensor,BPR239,,
A00729,,METBK-CT S/N,Sensor,37-11093,,
A00706,,METBK-HRH S/N,Sensor,HRH281,,
A00740,,METBK-LWR S/N,Sensor,LWR269,,
A00452,,METBK-PRC S/N,Sensor,PRC247,,
,,METBK-SWR S/N,Sensor,TBD,,
A00703,,METBK-WND S/N,Sensor,SWND242,,
,,METBK-Log S/N,,N/A,,
,,METBK-BPR S/N,,N/A,,
,,METBK-CT S/N,,N/A,,
,,METBK-HRH S/N,,N/A,,
,,METBK-LWR S/N,,N/A,,
,,METBK-PRC S/N,,N/A,,
,,METBK-SWR S/N,,N/A,,
,,METBK-WND S/N,,N/A,,
A01232,,PCO2A S/N,Sensor,34-229-50A,,
,,VELPT S/N,,N/A,,
,,WAVSS S/N,,N/A,,
,,MOPAK S/N,,,,
,,ADCP S/N,,N/A,,
A00082,,CTDBP S/N,Sensor,16P71174-7208,,
A01234,,DOSTA S/N,Sensor,410,,
A00084,,FLORT S/N,Sensor,994,,
A00384,,NUTNR S/N,Sensor,261,,
,,NUTNR Batt S/N,Sensor,364,,
A01328,,OPTAA S/N,Sensor,ACS-240,,
,,PCO2W S/N,,N/A,,
A01345,,PHSEN S/N,Sensor,P0155,,
A00977,,SPKIR S/N,Sensor,274,,
A00410,,VELPT S/N,Sensor,AQD 11377,,
A00764,,MFN AcousticRelease S/N,,48484,,
A00564,,MFN AcousticRelease S/N,,50467,,
,,ARM AcousticRelease S/N,,,,
A01221,,ADCP S/N,Sensor,22642,,
,,CAMDS S/N,,N/A,,
A01091,,CTDBP S/N,Sensor,16-50067,,
A01235,,DOSTA S/N,Sensor,412,,
A01329,,OPTAA S/N,Sensor,ACS-241,,
A01156,,PCO2W S/N,Sensor,C0099,,
A01346,,PHSEN S/N,Sensor,P0156,,
A01187,,PRESF S/N,Sensor,26-1400,,
A00049,,VELPT S/N,Sensor,AQD 9984,,
,,VEL3D S/N,,N/A,,
,,ZPLSC S/N,,N/A,,
