OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00216,GA01SUMO-00001,,Mooring,GA01SUMO-00001,2/18/2015,
,,GPS S/N,,,,
,,GPS S/N,,,,
,,FBB ABU S/N,,,,
,,FBB BDU S/N,,,,
,,FBB SIM #,,,,
,,FBB ABU S/N,,,,
,,FBB BDU S/N,,,,
,,FBB SIM #,,,,
,,ISU S/N,,,,
,,ISU SIM #,,,,
,,ISU S/N,,,,
,,ISU SIM #,,,,
,,SBD S/N,,,,
,,SBD S/N,,,,
,,FreeWave S/N,,,,
,,FreeWave S/N,,,,
,,WiFi S/N,,,,
,,ACOMM S/N,,,,
,,RTE S/N,,,,
,,XEOS S/N,,,,
,,XEOS S/N,,,,
,,XEOS S/N,,,,
,,Light S/N,,,,
,,Flasher S/N,,,,
,,PSC S/N,,,,
,,WindTurbine S/N,,,,
,,WindTurbine S/N,,,,
,,PV S/N,,,,
,,PV S/N,,,,
,,PV S/N,,,,
,,PV S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery Puck S/N,,,,
,,Battery Puck S/N,,,,
,,MPEA S/N,,,,
,,PlatCon Assm S/N,,,,
,,FDCHP (anemometer) S/N,,,,
,,FDCHP (housing) S/N,,,,
N00739,,METBK-Log S/N,Sensor,LGR003,,
N00739,,METBK-BPR S/N,Sensor,245,,
N00739,,METBK-CT S/N,Sensor,37-11090,,
N00739,,METBK-HRH S/N,Sensor,HRH262,,
N00739,,METBK-LWR S/N,Sensor,LWR247,,
N00739,,METBK-PRC S/N,Sensor,PRC255,,
N00739,,METBK-SWR S/N,Sensor,SWR249,,
N00739,,METBK-WND S/N,Sensor,SWND232,,
N00740,,METBK-Log S/N,Sensor,LGR010,,
N00740,,METBK-BPR S/N,Sensor,BPR251,,
N00740,,METBK-CT S/N,Sensor,37-11560,,
N00740,,METBK-HRH S/N,Sensor,HRH283,,
N00740,,METBK-LWR S/N,Sensor,LWR245,,
N00740,,METBK-PRC S/N,Sensor,PRC238,,
N00740,,METBK-SWR S/N,Sensor,SWR259,,
N00740,,METBK-WND S/N,Sensor,SWND238,,
A00092,,SPKIR S/N,Sensor,229,,
A00998,,PCO2A S/N,Sensor,34-223-50A,,
A00399,,DOSTA S/N,Sensor,226,,
A00420,,FLORT S/N,Sensor,1105,,
A01067,,NUTNR S/N,Sensor,273,,
A01140,,OPTAA S/N,Sensor,ACS-207,,
,,VELPT S/N,,,,
A01149,,WAVSS S/N,Sensor,5981,,
,,MOPAK S/N,,,,
,,EM Chain S/N,,,,
,,Stretch Hose S/N,,,,
,,Stretch Hose S/N,,,,
,,Stretch Hose S/N,,,,
,,Stretch Hose S/N,,,,
,,ACOMM S/N,,,,
,,CPM-DCL Assm S/N,,,,
,,DCL Assm S/N,,,,
,,ADCP S/N,,N/A,,
A01094,,CTDBP S/N,Sensor,16-50062,,
A00892,,DOSTA S/N,Sensor,386,,
A00889,,FLORT S/N,Sensor,1214,,
A01066,,NUTNR S/N,Sensor,272,,
,,NUTNR Batt S/N,,,,
A01148,,OPTAA S/N,Sensor,ACS-209,,
A00062,,PCO2W S/N,Sensor,C0050,,
,,PHSEN S/N,,,,
A00093,,SPKIR S/N,Sensor,230,,
A01070,,VELPT S/N,Sensor,AQD 12229,,
,,XEOS S/N,,,,
,,XEOS S/N,,,,
,,Flasher S/N,,,,
,,MPEA S/N,,,,
,,CPM-DCL Assm S/N,,,,
,,DCL Assm S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
A00856,,ADCP S/N,Sensor,21639,,
A00882,,CTDMO S/N,Sensor,37-12302,,
A00883,,CTDMO S/N,Sensor,37-12303,,
A01118,,CTDMO S/N,Sensor,37-12606,,
A01119,,CTDMO S/N,Sensor,37-12607,,
A01120,,CTDMO S/N,Sensor,37-12634,,
A01121,,CTDMO S/N,Sensor,37-12635,,
A01122,,CTDMO S/N,Sensor,37-12636,,
A01123,,CTDMO S/N,Sensor,37-12637,,
A01124,,CTDMO S/N,Sensor,37-12639,,
A01128,,CTDMO S/N,Sensor,37-12568,,
N00500,,CTDMO S/N,Sensor,37-12569,,
A01130,,CTDMO S/N,Sensor,37-12647,,
A00119,,PHSEN S/N,Sensor,P0070,,
A00917,,PHSEN S/N,Sensor,P0140,,
A01183,,PCO2W S/N,Sensor,C0106,,
A01184,,PCO2W S/N,Sensor,C0108,,
A01201,,PCO2W S/N,Sensor,C0109,,
