OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
OL000105,GA03FLMB-00002,,Mooring,GA03FLMB-00002,11/10/2015,
,,GPS S/N,,,,
,,XEOS S/N,,,,
,,Flasher S/N,,,,
OL000106,,Controller S/N,,14882,,
A01307,,DOSTA S/N,Sensor,467,,
A01430,,FLORD S/N,Sensor,1301,,
A01713,,PHSEN S/N,Sensor,P0180,,
A01552,,CTDMO S/N,Sensor,37-13596,,
,,GPS S/N,,,,
,,XEOS S/N,,,,
,,Flasher S/N,,,,
OL000107,,Controller S/N,,14881,,
,,ACOMM S/N,,,,
A01508,,ADCP S/N,Sensor,23498,,
A01553,,CTDMO S/N,Sensor,37-13597,,
,,Battery Pack S/N,,,,
,,Battery Pack S/N,,,,
A01554,,CTDMO S/N,Sensor,37-13598,,
A01555,,CTDMO S/N,Sensor,37-13599,,
A01556,,CTDMO S/N,Sensor,37-13600,,
A01557,,CTDMO S/N,Sensor,37-13601,,
A01558,,CTDMO S/N,Sensor,37-13603,,
A01559,,CTDMO S/N,Sensor,37-13604,,
A01560,,CTDMO S/N,Sensor,37-13605,,
A01570,,CTDMO S/N,Sensor,37-13647,,
A01569,,CTDMO S/N,Sensor,37-13634,,
A01606,,CTDMO S/N,Sensor,37-13646,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
