OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A01217,GA05MOAS-GL493,,Platform,493,3/15/2015,
,,ADCP S/N,Sensor,,,
N00407,,FLORT S/N,Sensor,3553,,
N00408,,CTDGV S/N,Sensor,9211,,
N00409,,DOSTA S/N,Sensor,347,,
,,PARAD S/N,Sensor,,,
OL000108,,GL493 Controller,,GL493 Controller,,
,,,,,,
A01219,GA05MOAS-GL494,,Platform,494,3/14/2015,
,,ADCP S/N,Sensor,,,
N00400,,FLORT S/N,Sensor,3554,,
N00401,,CTDGV S/N,Sensor,9214,,
N00403,,DOSTA S/N,Sensor,348,,
,,PARAD S/N,Sensor,,,
OL000109,,GL494 Controller,,GL494 Controller,,
,,,,,,
A01218,GA05MOAS-GL495,,Platform,495,3/13/2015,
,,ADCP S/N,Sensor,,,
N00540,,FLORT S/N,Sensor,3578,,
N00541,,CTDGV S/N,Sensor,9209,,
N00542,,DOSTA S/N,Sensor,325,,
,,PARAD S/N,Sensor,,,
OL000110,,GL495 Controller,,GL495 Controller,,
,,,,,,
A01203,GA05MOAS-GL496,,Platform,496,3/14/2015,
,,ADCP S/N,Sensor,,,
N00410,,FLORT S/N,Sensor,3577,,
N00411,,CTDGV S/N,Sensor,9207,,
N00412,,DOSTA S/N,Sensor,337,,
,,PARAD S/N,Sensor,,,
OL000111,,GL496 Controller,,GL496 Controller,,
,,,,,,
,GA05MOAS-GL538,,Platform,538,3/14/2015,
,,ADCP S/N,Sensor,,,
OL000113,,FLORT S/N,Sensor,3577,,
OL000115,,CTDGV S/N,Sensor,9207,,
OL000114,,DOSTA S/N,Sensor,337,,
,,PARAD S/N,Sensor,,,
OL000112,,GL538 Controller,,GL538 Controller,,
,,,,,,
A01725,GA05MOAS-PG562,,Platform,562,3/14/2015,
OL000153,,CTDGV S/N,Sensor,9284,,
OL000154,,DOSTA S/N,Sensor,420,,
OL000155,,NUTNR S/N,Sensor,659,,
OL000156,,PARAD S/N,Sensor,50197,,
OL000157,,FLORT S/N,Sensor,3783,,
OL000158,,FLORT S/N,,1329,,
OL000159,,PG562 Controller,,562,,
,,,,,,
A01726,GA05MOAS-PG563,,Platform,563,3/14/2015,
OL000160,,CTDGV S/N,Sensor,9285,,
OL000161,,DOSTA S/N,Sensor,423,,
OL000162,,NUTNR S/N,Sensor,658,,
OL000163,,PARAD S/N,Sensor,50198,,
OL000164,,FLORT S/N,Sensor,3813,,
OL000165,,FLORT S/N,,1330,,
OL000166,,PG563 Controller,,563,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
N003454,,PARAD S/N,,50164,,
