OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00220,GI01SUMO-00001,,Mooring,GI01SUMO-00001,8/22/2015,
,,GPS S/N,,22,,
,,GPS S/N,,25,,
,,FBB ABU S/N,,806202259,,
,,FBB BDU S/N,,12431339,,
,,FBB SIM #,,8.99E+17,,
,,FBB ABU S/N,,806201115,,
,,FBB BDU S/N,,12434731,,
,,FBB SIM #,,8.99E+17,,
,,ISU S/N,,22,,
,,ISU SIM #,,8.99E+18,,
,,ISU S/N,,25,,
,,ISU SIM #,,8.99E+18,,
,,SBD S/N,,33,,
,,SBD S/N,,34,,
,,FreeWave S/N,,24,,
,,FreeWave S/N,,21,,
,,WiFi S/N,,21,,
,,IMM S/N,,,,
,,ACOMM S/N,,N/A,,
,,RTE S/N,,,,
,,XEOS S/N,,3.00E+14,,
,,XEOS S/N,,3.00E+14,,
,,XEOS S/N,,3.00E+14,,
,,Light S/N,,,,
,,Flasher S/N,,297,,
,,PSC S/N,,,,
,,WindTurbine S/N,,,,
,,WindTurbine S/N,,,,
,,PV S/N,,1310V04M0002562,,
,,PV S/N,,1310V04M0002559,,
,,PV S/N,,1310V04M0002591,,
,,PV S/N,,1310V04M0002560,,
,,Battery S/N,,1411473,,
,,Battery S/N,,1411423,,
,,Battery S/N,,1411474,,
,,Battery S/N,,1411477,,
,,Battery S/N,,1411475,,
,,Battery S/N,,1411479,,
,,Battery S/N,,1411476,,
,,Battery S/N,,1411478,,
,,Battery Puck S/N,,,,
,,Battery Puck S/N,,,,
,,MPEA S/N,,,,
,,PlatCon Assm S/N,,,,
,,DCL Assm S/N,,,,
R00039,,FDCHP (anemometer) S/N,Sensor,141004,,
,,FDCHP (housing) S/N,Sensor,,,
N00741,,METBK-Log S/N,Sensor,LGR004,,
A00456,,METBK-BPR S/N,Sensor,BPR244,,
A00716,,METBK-CT S/N,Sensor,37-11558,,
A00459,,METBK-HRH S/N,Sensor,HRH266,,
A00317,,METBK-LWR S/N,Sensor,LWR246,,
A00747,,METBK-PRC S/N,Sensor,PRC256,,
A00307,,METBK-SWR S/N,Sensor,SWR247,,
A00726,,METBK-WND S/N,Sensor,SWND237,,
N00742,,METBK-Log S/N,Sensor,LGR005,,
A00717,,METBK-BPR S/N,Sensor,BPR243,,
A00715,,METBK-CT S/N,Sensor,37-11561,,
A00731,,METBK-HRH S/N,Sensor,HRH268,,
A00315,,METBK-LWR S/N,Sensor,LWR244,,
A00485,,METBK-PRC S/N,Sensor,PRC237,,
A00308,,METBK-SWR S/N,Sensor,SWR248,,
A00725,,METBK-WND S/N,Sensor,SWND235,,
N00216,,SPKIR S/N,Sensor,239,,
A00408,,PCO2A S/N,Sensor,33-177-50A,,
A00397,,DOSTA S/N,Sensor,211,,
A00409,,FLORT S/N,Sensor,1102,,
A00406,,NUTNR S/N,Sensor,239,,
A00571,,OPTAA S/N,Sensor,ACS-153,,
,,VELPT S/N,,N/A,,
A00656,,WAVSS S/N,Sensor,5311,,
R00036,,MOPAK S/N,,GI01SUMO-00001-MOPAK,,
R00037,,HYDGN S/N,,GI01SUMO-00001-HYDGN1,,
R00038,,HYDGN S/N,,GI01SUMO-00001-HYDGN2,,
,,EM Chain S/N,,10M1,,
,,Wire Rope S/N,,13266-3,,
,,Wire Rope S/N,,13266-4,,
,,ACOMM S/N,,,,
,,CPM-DCL Assm S/N,,,,
,,DCL Assm S/N,,,,
,,ADCP S/N,,N/A,,
A00635,,CTDBP S/N,Sensor,16-50001,,
A00396,,DOSTA S/N,Sensor,212,,
A00419,,FLORT S/N,Sensor,1104,,
A00385,,NUTNR S/N,Sensor,262,,
,,NUTNR Batt S/N,,,,
A00496,,OPTAA S/N,Sensor,ACS-150,,
A00063,,PCO2W S/N,Sensor,C0051,,
,,PHSEN S/N,,N/A,,
A00407,,SPKIR S/N,Sensor,240,,
A00116,,VELPT S/N,Sensor,AQD 8544,,
,,XEOS S/N,,,,
,,XEOS S/N,,,,
,,Flasher S/N,,,,
,,MPEA S/N,,,,
,,CPM-DCL Assm S/N,,,,
,,DCL Assm S/N,,8,,
A00531,,MFN AcousticRelease S/N,,46251,,
A00534,,MFN AcousticRelease S/N,,46257,,
A00855,,ADCP S/N,Sensor,21717,,
A00645,,CTDMO S/N,Sensor,37-11477,,
A00644,,CTDMO S/N,Sensor,37-11476,,
A00643,,CTDMO S/N,Sensor,37-11475,,
A00638,,CTDMO S/N,Sensor,37-11482,,
A00637,,CTDMO S/N,Sensor,37-11481,,
A00636,,CTDMO S/N,Sensor,37-11480,,
A00647,,CTDMO S/N,Sensor,37-11479,,
A00646,,CTDMO S/N,Sensor,37-11478,,
A00023,,CTDMO S/N,Sensor,37IM64183-8523,,
A00640,,CTDMO S/N,Sensor,37-11484,,
A00641,,CTDMO S/N,Sensor,37-11485,,
A00639,,CTDMO S/N,Sensor,37-11483,,
A00118,,PHSEN S/N,Sensor,P0071,,
A00567,,PHSEN S/N,Sensor,P0101,,
R00040,,CPM-DCL Assm S/N,,GI01SUMO-00001-CPM1,,
R00041,,CPM-DCL Assm S/N,,GI01SUMO-00001-CPM2,,
,,,,,,
R00042,,DCL Assm S/N,,GI01SUMO-00001-DCL11,,
R00043,,DCL Assm S/N,,GI01SUMO-00001-DCL12,,
R00044,,DCL Assm S/N,,GI01SUMO-00001-DCL16,,
