OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments,
N00221,GI01SUMO-00002,,Mooring,GI01SUMO-00002,8/15/2015,,
,,GPS S/N,,,,,
,,GPS S/N,,,,,
,,FBB ABU S/N,,,,,
,,FBB BDU S/N,,,,,
,,FBB SIM #,,,,,
,,FBB ABU S/N,,,,,
,,FBB BDU S/N,,,,,
,,FBB SIM #,,,,,
,,ISU S/N,,,,,
,,ISU SIM #,,,,,
,,ISU S/N,,,,,
,,ISU SIM #,,,,,
,,SBD S/N,,,,,
,,SBD S/N,,,,,
,,FreeWave S/N,,,,,
,,FreeWave S/N,,,,,
,,WiFi S/N,,,,,
,,IMM S/N,,,,,
,,ACOMM S/N,,,,,
,,RTE S/N,,,,,
,,XEOS S/N,,,,,
,,XEOS S/N,,,,,
,,XEOS S/N,,,,,
,,Light S/N,,,,,
,,Flasher S/N,,,,,
,,PSC S/N,,,,,
,,WindTurbine S/N,,,,,
,,WindTurbine S/N,,,,,
,,PV S/N,,,,,
,,PV S/N,,,,,
,,PV S/N,,,,,
,,PV S/N,,,,,
,,Battery S/N,,,,,
,,Battery S/N,,,,,
,,Battery S/N,,,,,
,,Battery S/N,,,,,
,,Battery S/N,,,,,
,,Battery S/N,,,,,
,,Battery S/N,,,,,
,,Battery S/N,,,,,
,,Battery Puck S/N,,,,,
,,Battery Puck S/N,,,,,
,,MPEA S/N,,,,,
,,PlatCon Assm S/N,,,,,
,,DCL Assm S/N,,,,,
R00048,,FDCHP (anemometer) S/N,Sensor,144903,,,
,,FDCHP (housing) S/N,,,,,
N00743,,METBK-Log S/N,Sensor,LGR021,,,
N00743,,METBK-BPR S/N,Sensor,,,,
N00743,,METBK-CT S/N,Sensor,,,,
N00743,,METBK-HRH S/N,Sensor,,,,
N00743,,METBK-LWR S/N,Sensor,,,,
N00743,,METBK-PRC S/N,Sensor,,,,
N00743,,METBK-SWR S/N,Sensor,,,,
N00743,,METBK-WND S/N,Sensor,,,,
N00744,,METBK-Log S/N,Sensor,LGR019,,,
N00744,,METBK-BPR S/N,Sensor,,,,
N00744,,METBK-CT S/N,Sensor,,,,
N00744,,METBK-HRH S/N,Sensor,,,,
N00744,,METBK-LWR S/N,Sensor,,,,
N00744,,METBK-PRC S/N,Sensor,,,,
N00744,,METBK-SWR S/N,Sensor,,,,
N00744,,METBK-WND S/N,Sensor,,,,
A01530,,SPKIR S/N,Sensor,288,,,
A01231,,PCO2A S/N,Sensor,34-233-50A,,,
N00505,,DOSTA S/N,Sensor,456,,,
A01341,,FLORT S/N,Sensor,1296,,,
A01492,,NUTNR S/N,Sensor,274,,,
A01332,,OPTAA S/N,Sensor,ACS-242,,,
,,VELPT S/N,,N/A,,,
A00657,,WAVSS S/N,Sensor,5321,,,
R00045,,MOPAK S/N,Sensor,GI01SUMO-00002-MOPAK,,,
R00046,,HYDGN S/N,Sensor,GI01SUMO-00002-HYDGN1,,,
R00047,,HYDGN S/N,Sensor,GI01SUMO-00002-HYDGN2,,,
,,EM Chain S/N,,,,,
,,Wire Rope S/N,,,,,
,,Wire Rope S/N,,,,,
,,ACOMM S/N,,,,,
,,CPM-DCL Assm S/N,,,,,
,,DCL Assm S/N,,,,,
,,ADCP S/N,,,,,
A01093,,CTDBP S/N,Sensor,16-50061,,,
N00504,,DOSTA S/N,Sensor,457,,,
A01340,,FLORT S/N,Sensor,1295,,,
A01143,,NUTNR S/N,Sensor,271,,,
,,NUTNR Batt S/N,Sensor,,,,
A01338,,OPTAA S/N,Sensor,ACS-222,,,
A01157,,PCO2W S/N,Sensor,C0100,,,
,,PHSEN S/N,,,,,
A00978,,SPKIR S/N,Sensor,275,,,
N00503,,VELPT S/N,Sensor,AQD 12198,,,
,,XEOS S/N,,,,,
,,XEOS S/N,,,,,
,,Flasher S/N,,,,,
,,MPEA S/N,,,,,
,,CPM-DCL Assm S/N,,,,,
,,DCL Assm S/N,,,,,
,,MFN AcousticRelease S/N,,,,,
,,MFN AcousticRelease S/N,,,,,
A01242,,ADCP S/N,Sensor,22865,,,
A01208,,CTDMO S/N,Sensor,37-12934,,,
A01205,,CTDMO S/N,Sensor,37-12935,,,
A01206,,CTDMO S/N,Sensor,37-12936,,,
A01207,,CTDMO S/N,Sensor,37-12937,,,
A01204,,CTDMO S/N,Sensor,37-12938,,,
A01209,,CTDMO S/N,Sensor,37-12939,,,
A01210,,CTDMO S/N,Sensor,37-12940,,,
A01421,,CTDMO S/N,Sensor,37-13375,,,
A01422,,CTDMO S/N,Sensor,37-13376,,,
A01423,,CTDMO S/N,Sensor,37-13377,,,
A00916,,PHSEN S/N,Sensor,P0138,,,
A00898,,PHSEN S/N,Sensor,P0139,,,
A01096,,CTDBP S/N,Sensor,16-50059,,,
A01134,,CTDBP S/N,Sensor,16-50073,,,
