OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A00962,GI05MOAS-GL469,,Platform,469,9/10/2014,
,,ADCP S/N,,,,
N00525,,CTDGV S/N,Sensor,9172,,
N00526,,DOSTA S/N,Sensor,341,,
N00527,,FLORD S/N,Sensor,3528,,
OL000116,,Controller,,469,,
,,,,,,
A00964,GI05MOAS-GL477,,Platform,477,9/10/2014,
,,ADCP S/N,,,,
N00531,,CTDGV S/N,Sensor,9175,,
N00532,,DOSTA S/N,Sensor,338,,
N00533,,FLORD S/N,Sensor,3552,,
OL000117,,Controller,,477,,
,,,,,,
A00965,GI05MOAS-GL478,,Platform,478,9/11/2014,
,,ADCP S/N,,,,
N00537,,CTDGV S/N,Sensor,9173,,
N00538,,DOSTA S/N,Sensor,339,,
N00539,,FLORD S/N,Sensor,3540,,
OL000118,,Controller,,478,,
,,,,,,
A00966,GI05MOAS-GL484,,Platform,484,8/17/2015,
,,ADCP S/N,,,,
N00528,,CTDGV S/N,Sensor,9195,,
N00529,,DOSTA S/N,Sensor,324,,
N00530,,FLORD S/N,Sensor,FLBBSLC-3550,,
OL000119,,Controller,,484,,
,,,,,,
A00967,GI05MOAS-GL485,,Platform,485,6/15/2014,
,,ADCP S/N,,,,
N00534,,CTDGV S/N,Sensor,9196,,
N00535,,DOSTA S/N,Sensor,322,,
N00536,,FLORD S/N,Sensor,FLBBCDSLC-3549,,
OL000120,,Controller,,485,,
,,,,,,
A00380,GI05MOAS-GL495,,Platform,495,7/19/2013,
,,ADCP S/N,,,,
N00540,,CTDGV S/N,Sensor,9209,,
N00541,,DOSTA S/N,Sensor,325,,
N00542,,FLORD S/N,Sensor,FLBBCDSLC-3578,,
OL000121,,Controller,,495,,
,,,,,,
A00852,GI05MOAS-PG528,,Platform,528,8/17/2015,
,,ADCP S/N,,,,
N00543,,CTDGV S/N,Sensor,9258,,
N00544,,DOSTA S/N,Sensor,401,,
N00546,,FLORT S/N,Sensor,3777,,
N00545,,NUTNR S/N,Sensor,350,,
N00548,,PARAD S/N,Sensor,50193,,
OL000122,,Controller,,528,,
OL000167,,FLORT S/N,Sensor,1240,,
