OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00253,GP03FLMA-00003,,Mooring,GP03FLMA-00003,6/17/2014,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,323,,
,,Flasher S/N,,597,,
OL000088,,Controller S/N,,12365,,
A00902,,DOSTA S/N,Sensor,394,,
A01497,,FLORT S/N,Sensor,1216,,
A00161,,PHSEN S/N,Sensor,P0080,,
A00108,,CTDMO S/N,Sensor,37-10219,,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,326,,
,,Flasher S/N,,596,,
OL000087,,Controller S/N,,12368,,
,,ACOMM S/N,,64831,,
A01503,,ADCP S/N,Sensor,21393,,
A00950,,CTDMO S/N,Sensor,37-12411,,
,,Battery Pack S/N,,1400014,,
,,Battery Pack S/N,,1400017,,
A00113,,CTDMO S/N,Sensor,37-10224,,
A00109,,CTDMO S/N,Sensor,37-10220,,
A00110,,CTDMO S/N,Sensor,37-10221,,
A00104,,CTDMO S/N,Sensor,37-10215,,
A00137,,CTDMO S/N,Sensor,37-10252,,
A00106,,CTDMO S/N,Sensor,37-10217,,
A00148,,CTDMO S/N,Sensor,37-10263,,
A00133,,CTDMO S/N,Sensor,37-10226,,
A00136,,CTDMO S/N,Sensor,37-10229,,
A00685,,CTDMO S/N,Sensor,37-11601,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
