OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00256,GS01SUMO-00001,,Mooring,GS01SUMO-00001,2/18/2015,
,,GPS S/N,,,,
,,GPS S/N,,,,
,,FBB ABU S/N,,,,
,,FBB BDU S/N,,,,
,,FBB SIM #,,,,
,,FBB ABU S/N,,,,
,,FBB BDU S/N,,,,
,,FBB SIM #,,,,
,,ISU S/N,,,,
,,ISU SIM #,,,,
,,ISU S/N,,,,
,,ISU SIM #,,,,
,,SBD S/N,,,,
,,SBD S/N,,,,
,,FreeWave S/N,,,,
,,FreeWave S/N,,,,
,,WiFi S/N,,,,
,,IMM S/N,,,,
,,ACOMM S/N,,N/A,,
,,RTE S/N,,,,
,,XEOS S/N,,,,
,,XEOS S/N,,,,
,,XEOS S/N,,,,
,,Light S/N,,,,
,,Flasher S/N,,,,
,,PSC S/N,,,,
,,WindTurbine S/N,,,,
,,WindTurbine S/N,,,,
,,PV S/N,,,,
,,PV S/N,,,,
,,PV S/N,,,,
,,PV S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery S/N,,,,
,,Battery Puck S/N,,,,
,,Battery Puck S/N,,,,
,,MPEA S/N,,,,
,,PlatCon Assm S/N,,,,
,,DCL Assm S/N,,,,
,,FDCHP (anemometer) S/N,,,,
,,FDCHP (housing) S/N,,,,
,,METBK-Log S/N,,,,
,,METBK-BPR S/N,,,,
,,METBK-CT S/N,,,,
,,METBK-HRH S/N,,,,
,,METBK-LWR S/N,,,,
,,METBK-PRC S/N,,,,
,,METBK-SWR S/N,,,,
,,METBK-WND S/N,,,,
,,METBK-Log S/N,,,,
,,METBK-BPR S/N,,,,
,,METBK-CT S/N,,,,
,,METBK-HRH S/N,,,,
,,METBK-LWR S/N,,,,
,,METBK-PRC S/N,,,,
,,METBK-SWR S/N,,,,
,,METBK-WND S/N,,,,
A00857,,SPKIR S/N,Sensor,269,,
A00437,,PCO2A S/N,Sensor,33-182-50A,,
A00865,,DOSTA S/N,Sensor,379,,
A00992,,FLORT S/N,Sensor,1212,,
A00878,,NUTNR S/N,Sensor,267,,
A01112,,OPTAA S/N,Sensor,ACS-205,,
,,VELPT S/N,,N/A,,
A01150,,WAVSS S/N,Sensor,5971,,
,,MOPAK S/N,,,,
,,HYDGN S/N,,,,
,,HYDGN S/N,,,,
,,EM Chain S/N,,,,
,,Wire Rope S/N,,,,
,,Wire Rope S/N,,,,
,,ACOMM S/N,,,,
,,CPM-DCL Assm S/N,,,,
,,DCL Assm S/N,,,,
,,ADCP S/N,,N/A,,
A01092,,CTDBP S/N,Sensor,16-50060,,
A00890,,DOSTA S/N,Sensor,382,,
A00993,,FLORT S/N,Sensor,1218,,
A00383,,NUTNR S/N,Sensor,260,,
,,NUTNR Batt S/N,,,,
A01139,,OPTAA S/N,Sensor,ACS-206,,
A00387,,PCO2W S/N,Sensor,C0070,,
A00897,,PHSEN S/N,Sensor,P0137,,
A01494,,SPKIR S/N,Sensor,276,,
A01071,,VELPT S/N,Sensor,AQD 12224,,
,,XEOS S/N,,,,
,,XEOS S/N,,,,
,,Flasher S/N,,,,
,,MPEA S/N,,,,
,,CPM-DCL Assm S/N,,,,
,,DCL Assm S/N,,,,
A00531,,MFN AcousticRelease S/N,,,,
A00534,,MFN AcousticRelease S/N,,,,
A00655,,ADCP S/N,Sensor,21002,,
A00884,,CTDMO S/N,Sensor,37-12304,,
A00885,,CTDMO S/N,Sensor,37-12305,,
A00886,,CTDMO S/N,Sensor,37-12306,,
A00887,,CTDMO S/N,Sensor,37-12307,,
A01113,,CTDMO S/N,Sensor,37-12585,,
A01114,,CTDMO S/N,Sensor,37-12586,,
A01115,,CTDMO S/N,Sensor,37-12589,,
A01116,,CTDMO S/N,Sensor,37-12590,,
A01117,,CTDMO S/N,Sensor,37-12605,,
A01127,,CTDMO S/N,Sensor,37-12565,,
A01126,,CTDMO S/N,Sensor,37-12566,,
A01125,,CTDMO S/N,Sensor,37-12567,,
A01155,,PCO2W S/N,Sensor,C0103,,
A01182,,PCO2W S/N,Sensor,C0105,,
