OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00258,GS03FLMA-00001,,Mooring,GS03FLMA-00001,2/25/2015,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,323,,
,,Flasher S/N,,597,,
OL000247,,Controller S/N,,GS03FLMA-00001-ENG-sec,,
A00901,,DOSTA S/N,Sensor,393,,
A01497,,FLORD S/N,Sensor,1216,,
A01500,,PHSEN S/N,Sensor,P0147,,
A01515,,CTDMO S/N,Sensor,37-12588,,
,,GPS S/N,,3.00E+14,,
,,XEOS S/N,,326,,
,,Flasher S/N,,596,,
OL000248,,Controller S/N,,GS03FLMA-00001-ENG- main,,
,,ACOMM S/N,,64831,,
A00067,,ADCP S/N,Sensor,18352,,
A00933,,CTDMO S/N,Sensor,37-12330,,
,,Battery Pack S/N,,1400014,,
,,Battery Pack S/N,,1400017,,
A00935,,CTDMO S/N,Sensor,37-12376,,
A00923,,CTDMO S/N,Sensor,37-12371,,
A00925,,CTDMO S/N,Sensor,37-12374,,
A00927,,CTDMO S/N,Sensor,37-12336,,
A00924,,CTDMO S/N,Sensor,37-12372,,
A00926,,CTDMO S/N,Sensor,37-12333,,
A00922,,CTDMO S/N,Sensor,37-12370,,
A00958,,CTDMO S/N,Sensor,37-12385,,
A00960,,CTDMO S/N,Sensor,37-12391,,
A00961,,CTDMO S/N,Sensor,37-12390,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
,,AcousticRelease S/N,,,,
