OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-69839-001-0103,RS03AXPS-PC03A,,Mooring,SN0103,9/27/2014,
ATAPL-58315-00002,,RS03AXPS-PC03A-05-ADCPTD302,Sensor,18974,,
ATAPL-58345-00002,,RS03AXPS-PC03A-06-VADCPA301,Sensor,19073,,
ATAPL-58317-00006,,RS03AXPS-PC03A-07-CAMDSC302,Sensor,108,,
ATAPL-58324-00004,,RS03AXPS-PC03A-08-HYDBBA303,Sensor,1272,,
ATAPL-66662-00004,,RS03AXPS-PC03A-4A-CTDPFA303,Sensor,16P71179-7233,,
ATAPL-58320-00006,,RS03AXPS-PC03A-4A-DOSTAD303,Sensor,276,,
ATAPL-58337-00004,,RS03AXPS-PC03A-4B-PHSENA302,Sensor,SAMI2-P0110,,
ATAPL-58322-00004,,RS03AXPS-PC03A-4C-FLORDD303,Sensor,1131,,
,,,,,,
ATAPL-69839-001-0106,RS03AXPS-PC03A,,Mooring,SN0106,7/9/2015,
ATAPL-66662-00011,,RS03AXPS-PC03A-4A-CTDPFA303,Sensor,16-50123,,
ATAPL-58320-00012,,RS03AXPS-PC03A-4A-DOSTAD303,Sensor,473,,
ATAPL-58337-00001,,RS03AXPS-PC03A-4B-PHSENA302,Sensor,P0059,,
ATAPL-58322-00012,,RS03AXPS-PC03A-4C-FLORDD303,Sensor,1294,,
ATAPL-58315-00005,,RS03AXPS-PC03A-05-ADCPTD302,Sensor,23339,,
ATAPL-58345-00005,,RS03AXPS-PC03A-06-VADCPA301,Sensor,23341,,
ATAPL-58317-00003,,RS03AXPS-PC03A-07-CAMDSC302,Sensor,103,,
ATAPL-58324-00009,,RS03AXPS-PC03A-08-HYDBBA303,Sensor,1362,,
,,,,,,
ATAPL-69839-001-0103,RS03AXPS-PC03A,,Mooring,SN0103,7/14/2016,
ATAPL-66662-00004,,RS03AXPS-PC03A-4A-CTDPFA303,Sensor,16P71179-7233,,
ATAPL-58320-00002,,RS03AXPS-PC03A-4A-DOSTAD303,Sensor,344,,
ATAPL-58337-00004,,RS03AXPS-PC03A-4B-PHSENA302,Sensor,P0110,,
ATAPL-58322-00004,,RS03AXPS-PC03A-4C-FLORDD303,Sensor,1131,,
ATAPL-58315-00002,,RS03AXPS-PC03A-05-ADCPTD302,Sensor,18974,,
ATAPL-58345-00002,,RS03AXPS-PC03A-06-VADCPA301,Sensor,19075,,
ATOSU-58317-00007,,RS03AXPS-PC03A-07-CAMDSC302,Sensor,100,,
ATAPL-58324-00007,,RS03AXPS-PC03A-08-HYDBBA303,Sensor,1292,,
,,,,,,
ATAPL-68870-001-0142,RS03AXPS-SF03A,,Mooring,SN0142,9/27/2014,
ATAPL-66662-00003,,RS03AXPS-SF03A-2A-CTDPFA302,Sensor,16P71179-7232-2484,,
ATAPL-58694-00002,,RS03AXPS-SF03A-2A-DOFSTA302,Sensor,43-2484,,
ATAPL-58337-00002,,RS03AXPS-SF03A-2D-PHSENA301,Sensor,SAMI2-P0112,,
ATAPL-58322-00002,,RS03AXPS-SF03A-3A-FLORTD301,Sensor,1129,,
ATAPL-58332-00002,,RS03AXPS-SF03A-3B-OPTAAD301,Sensor,ACS-166,,
ATAPL-66645-00002,,RS03AXPS-SF03A-3C-PARADA301,Sensor,463,,
ATAPL-58341-00002,,RS03AXPS-SF03A-3D-SPKIRA301,Sensor,244,,
ATAPL-68020-00002,,RS03AXPS-SF03A-4A-NUTNRA301,Sensor,379,,
ATAPL-70114-00002,,RS03AXPS-SF03A-4B-VELPTD302,Sensor,AQS 6334/AQD 11653,,
ATAPL-58336-00002,,RS03AXPS-SF03A-4F-PCO2WA301,Sensor,SAMI2-C0075,,
,,,,,,
