OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
ATAPL-65244-060-0028,RS03INT1-MJ03C,,Mooring,SN0028,7/20/2014,
ATAPL-58317-00002,,RS03INT1-MJ03C-05-CAMDSB303,Sensor,0102,,
ATAPL-58325-00003,,RS03INT1-MJ03C-06-MASSPA301,Sensor,LTDISMS003,,
ATAPL-67596-00001,,RS03INT1-MJ03C-07-PPSDNA301,Sensor,12881-04,,
ATAPL-67614-00001,,RS03INT1-MJ03C-07-RASFLA301,Sensor,12881-01,,
ATAPL-58342-00002,,RS03INT1-MJ03C-09-THSPHA301,Sensor,c,,
ATAPL-67653-00002,,RS03INT1-MJ03C-10-TRHPHA301,Sensor,2,,
,,,,,,
ATAPL-65244-060-0028,RS03INT1-MJ03C,,Mooring,SN0028,7/20/2014,
ATAPL-58317-00005,,RS03INT1-MJ03C-05-CAMDSB303,Sensor,107,,
ATAPL-58325-00004,,RS03INT1-MJ03C-06-MASSPA301,Sensor,LTDISMS004,,
ATAPL-58338-00003,,RS03INT1-MJ03C-07-PPSDNA301,Sensor,12881-03,,
ATAPL-58340-00003,,RS03INT1-MJ03C-07-RASFLA301,Sensor,13003-02,,
ATAPL-58342-00003,,RS03INT1-MJ03C-09-THSPHA301,Sensor,b,,
ATAPL-67653-00001,,RS03INT1-MJ03C-10-TRHPHA301,Sensor,1,,
,,,,,,
ATAPL-65244-060-0028,RS03INT1-MJ03C,,Mooring,SN0028,7/20/2014,
ATAPL-58317-00011,,RS03INT1-MJ03C-05-CAMDSB303,Sensor,116,,
ATAPL-58325-00003,,RS03INT1-MJ03C-06-MASSPA301,Sensor,LTDISMS003,,
ATAPL-67596-00001,,RS03INT1-MJ03C-07-PPSDNA301,Sensor,12881-04,,
ATAPL-67614-00001,,RS03INT1-MJ03C-07-RASFLA301,Sensor,12881-01,,
ATAPL-67653-00002,,RS03INT1-MJ03C-10-TRHPHA301,Sensor,2,,
