OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A00025,ML12714-01,WFP COASTAL REFURBISHED,Profiler,ML12714-01,6/17/2011,
N00001,,CTD for WFP Coastal 12714-01,Sensor,93,,
N00002,,DOSTA for WFP Coastal 12714-01,Sensor,43-0209,,
N00003,,FLOR for WFP Coastal 12714-01,Sensor,830,,
N00005,,PAR for WFP Coastal 12714-01,Sensor,20436,,
N00006,,VEL3D for WFP Coastal 12714-01,Sensor,100012,,
,,,,,,
A00391,ML12936-01,WFP COASTAL (1ST ARTICLE),Profiler,ML12936-01,1/22/2013,
N00008,,CTD for WFP Coastal 12936-01,Sensor,106,,
N00009,,DOSTA for WFP Coastal 12936-01,Sensor,43-2397,,
N00010,,FLOR for WFP Coastal 12936-01,Sensor,969,,
N00012,,PAR for WFP Coastal 12936-01,Sensor,20423,,
N00013,,VEL3D for WFP Coastal 12936-01,Sensor,100003,,
,,,,,,
A00391,ML12936-01,WFP COASTAL (1ST ARTICLE),Profiler,ML12936-01,9/1/2015,
N00008,,CTD for WFP Coastal 12936-01,Sensor,106,,
N00009,,DOSTA for WFP Coastal 12936-01,Sensor,43-2397,,
N00010,,FLOR for WFP Coastal 12936-01,Sensor,969,,
N00012,,PAR for WFP Coastal 12936-01,Sensor,20423,,
N00020,,VEL3D for WFP Coastal 12936-01,Sensor,100022,,
,,,,,,
A00267,ML12936-02,WFP GLOBAL,Profiler,ML12936-02,3/20/2013,
N00606,,CTD for WFP Coastal 12936-02,Sensor,107,,
N00605,,DOSTA for WFP Coastal 12936-02,Sensor,1086,,
N00604,,FLOR for WFP Coastal 12936-02,Sensor,2736,,
,,PAR for WFP Coastal 12936-02,Sensor,,,
N00607,,VEL3D for WFP Coastal 12936-02,Sensor,1024,,
,,,,,,
A00286,ML12991-01,WFP COASTAL,Profiler,ML12991-01,7/13/2015,
N00022,,CTD for WFP Coastal 12991-01,Sensor,111,,
N00023,,DOSTA for WFP Coastal 12991-01,Sensor,43-2497,,
N00024,,FLOR for WFP Coastal 12991-01,Sensor,1029,,
N00026,,PAR for WFP Coastal 12991-01,Sensor,20437,,
N00027,,VEL3D for WFP Coastal 12991-01,Sensor,100015,,
,,,,,,
A00286,ML12991-01,WFP COASTAL,Profiler,ML12991-01,9/1/2015,
N00022,,CTD for WFP Coastal 12991-01,Sensor,111,,
N00030,,DOSTA for WFP Coastal 12991-01,Sensor,43-2978,,
N00024,,FLOR for WFP Coastal 12991-01,Sensor,1029,,
N00026,,PAR for WFP Coastal 12991-01,Sensor,20437,,
N00027,,VEL3D for WFP Coastal 12991-01,Sensor,100015,,
,,,,,,
A00286,ML12991-02,WFP COASTAL,Profiler,ML12991-02,6/4/2013,
N00036,,CTD for WFP Coastal 12991-02,Sensor,113,,
N00037,,DOSTA for WFP Coastal 12991-02,Sensor,43-2499,,
N00038,,FLOR for WFP Coastal 12991-02,Sensor,1031,,
N00040,,PAR for WFP Coastal 12991-02,Sensor,20477,,
N00041,,VEL3D for WFP Coastal 12991-02,Sensor,100013,,
,,,,,,
A00286,ML12991-02,WFP COASTAL,Profiler,ML12991-02,5/10/2016,
N00036,,CTD for WFP Coastal 12991-02,Sensor,113,,
N00037,,DOSTA for WFP Coastal 12991-02,Sensor,43-2499,,
N00038,,FLOR for WFP Coastal 12991-02,Sensor,1031,,
N00040,,PAR for WFP Coastal 12991-02,Sensor,20477,,
N00041,,VEL3D for WFP Coastal 12991-02,Sensor,100013,,
,,,,,,
A00285,ML12991-03,WFP COASTAL,Profiler,ML12991-03,4/26/2013,
N00050,,CTD for WFP Coastal 12991-03,Sensor,110,,
N00051,,DOSTA for WFP Coastal 12991-03,Sensor,43-2496,,
N00052,,FLOR for WFP Coastal 12991-03,Sensor,1030,,
N00054,,PAR for WFP Coastal 12991-03,Sensor,20438,,
N00055,,VEL3D for WFP Coastal 12991-03,Sensor,100014,,
,,,,,,
A00285,ML12991-03,WFP COASTAL,Profiler,ML12991-03,9/1/2015,
N00057,,CTD for WFP Coastal 12991-03,Sensor,114,,
N00058,,DOSTA for WFP Coastal 12991-03,Sensor,43-2500,,
N00059,,FLOR for WFP Coastal 12991-03,Sensor,1033,,
N00061,,PAR for WFP Coastal 12991-03,Sensor,20449,,
N00062,,VEL3D for WFP Coastal 12991-03,Sensor,100011,,
,,,,,,
A00303,ML12991-04,WFP COASTAL,Profiler,ML12991-04,5/10/2013,
N00064,,CTD for WFP Coastal 12991-04,Sensor,112,,
N00065,,DOSTA for WFP Coastal 12991-04,Sensor,43-2498,,
N00066,,FLOR for WFP Coastal 12991-04,Sensor,1032,,
N00068,,PAR for WFP Coastal 12991-04,Sensor,20448,,
N00069,,VEL3D for WFP Coastal 12991-04,Sensor,100017,,
,,,,,,
A00304,ML12991-05,WFP COASTAL,Profiler,ML12991-05,5/10/2013,
N00071,,CTD for WFP Coastal 12991-05,Sensor,114,,
N00072,,DOSTA for WFP Coastal 12991-05,Sensor,43-2500,,
N00073,,FLOR for WFP Coastal 12991-05,Sensor,1033,,
N00075,,PAR for WFP Coastal 12991-05,Sensor,20449,,
N00076,,VEL3D for WFP Coastal 12991-05,Sensor,100011,,
,,,,,,
A00846,ML13103-01,WFP COASTAL,Profiler,ML13103-01,1/28/2014,
N00078,,CTD for WFP Coastal 13103-01,Sensor,124,,
N00079,,DOSTA for WFP Coastal 13103-01,Sensor,43-2708,,
N00080,,FLOR for WFP Coastal 13103-01,Sensor,1117,,
N00082,,PAR for WFP Coastal 13103-01,Sensor,20464,,
N00083,,VEL3D for WFP Coastal 13103-01,Sensor,100035,,
,,,,,,
A00847,ML13103-02,WFP COASTAL,Profiler,ML13103-02,1/28/2014,
N00085,,CTD for WFP Coastal ML13103-02,Sensor,125,,
N00086,,DOSTA for WFP Coastal ML13103-02,Sensor,43-2724,,
N00087,,FLOR for WFP Coastal ML13103-02,Sensor,1119,,
N00089,,PAR for WFP Coastal ML13103-02,Sensor,20465,,
N00090,,VEL3D for WFP Coastal ML13103-02,Sensor,100037,,
,,,,,,
A00847,ML13103-02,WFP COASTAL,Profiler,ML13103-02,5/1/2016,
N00085,,CTD for WFP Coastal ML13103-02,Sensor,125,,
N00086,,DOSTA for WFP Coastal ML13103-02,Sensor,43-2724,,
N00087,,FLOR for WFP Coastal ML13103-02,Sensor,1119,,
N00089,,PAR for WFP Coastal ML13103-02,Sensor,20465,,
N00090,,VEL3D for WFP Coastal ML13103-02,Sensor,100037,,
,,,,,,
