ASSET_UID,TYPE,Mobile,Geometry,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
A00001,,,,FUEL CELL,,PROTONEX,M250-B,630037-02,,D100125,WHOI,LOSO,103,A,20090826,15208.84,100%,,20090826,WHOI,113528,,,,,,
A00002,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00003,,,,LOAD CELL U/W 3500  LBS TEST,,SENSING SYST,10740-3C/3500,3,,E112149,WHOI,UNV,OSU,AC,20091009,7650,100%,Missing from inventory,20091009,WHOI,,12/6/2012,OSU,325080,,,
A00004,,,,SOFTWARE FOR MRP SYSTEM 5 SEAT,,MICROSOFT DYNAMICS,MRP SYSTEM,N/A,,C115054,WHOI,CLK,151,A,20091210,25900,100%,,20091210,WHOI,113689,,,,,,
A00005,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00006,,,,SOFTWARE AUTODESK VAULT (4),,M2 TECHNOLOGIES,2010,A00006,,C114699,WHOI,CLK,151,A,20090724,6140,100%,,20090724,WHOI,113692,,,,,,
A00007,,,,SOFTWARE AUTODESK VAULT (6),,M2 TECHNOLOGIES,2010,A00007,,C114985,WHOI,CLK,151,A,20091109,9210,100%,,20091109,WHOI,113693,,,,,,
A00008,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00009,,,,SERVER FOR MRP W SUPPLIES,,DELL,R510,FJ5PLL1,,C115117,WHOI,CLK,151,A,20091222,17158.72,100%,,20091222,WHOI,113741,,,,,,
A00010,,,,SERVER FOR MRP W/SUPPLIES,,DELL,R510,HK6SLL1,,C115117,WHOI,CLK,151,A,20091222,5726.39,100%,,20091222,WHOI,113742,,,,,,
A00011,,,,OSCILLOSCOPE MIXED SIGNAL,,TEKTRONIX,MSO2024,C00111,,E112465,WHOI,LOSO,202,A,20100202,5300,100%,,20100202,WHOI,113795,,,,,,
A00012,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00013,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00014,,,,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00015,,,,SOFTWARE PADS SCHEMATIC/PCB,,TRILOGIC,PADS/PCB,SEE COMMENTS,,C115257,WHOI,BIG,309,A,20100308,28352,100%,,20100308,WHOI,113861,,,,,,
A00016,,,,PRINTER DESIGNJET,,HP,T1200,SCN9B62H016,,C115293,WHOI,LOSO,203,A,20100323,5285.48,100%,,20100323,WHOI,113863,,,,,,
A00017,,,,(5) AUTODESK VAULT MANF 2010,,M2 TECHNOLOGIES INC,2010,N/A,,C115309,WHOI,LOSO,LOB,A,20100407,8125,100%,,20100407,WHOI,113894,,,,,,
A00018,,,,MODEM HYDRO ACOUSTIC,,SIO,N/A,N/A,,A100549,WHOI,ATS,SEA,A,20090629,47369,100%,,20090629,WHOI,114041,,,,,,
A00019,,,,ACOUSTIC RELEASE,,ORE,8242XS,34580,,E113111,WHOI,CRL,HIBA,A,20110310,14500,100%,,20110310,WHOI,114490,,,,,,
