OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00287,CE02SHBP-MJ01C,,Mooring,CE02SHBP-MJ01C,8/1/2014,
N00694,,CAMDS S/N,Sensor,0484-6002-100,,
N00693,,ZPLSC S/N,Sensor,1,,
,,,,,,
N00288,CE02SHBP-LJ01D,,Mooring,CE02SHBP-LJ01D,8/1/2014,
N00695,,HYDBB S/N,Sensor,1248,,
A00057,,ADCPT S/N,Sensor,18493,,
N00696,,CTDBP S/N,Sensor,7230,,
A00426,,DOSTA S/N,Sensor,216,,
A00246,,VEL3D S/Nsensor,,8167,,
A00265,,PCO2W S/N,Sensor,C0064,,
A00627,,PHSEN S/N,Sensor,P0116,,
A01057,,OPTAA S/N,Sensor,ACS-169,,
