OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00266,CE02SHSM-00002,,Mooring,CE02SHSM-00002,10/7/2015,
N00734,,METBK-Log S/N,Sensor,LGR008,,
N00734,,METBK-BPR S/N,Sensor,LGR008,,
N00734,,METBK-CT S/N,Sensor,LGR008,,
N00734,,METBK-HRH S/N,Sensor,LGR008,,
N00734,,METBK-LWR S/N,Sensor,LGR008,,
N00734,,METBK-PRC S/N,Sensor,LGR008,,
N00734,,METBK-SWR S/N,Sensor,LGR008,,
N00734,,METBK-WND S/N,Sensor,LGR008,,
A01682,,PCO2A S/N,Sensor,35-258-50A,,
A01749,,VELPT S/N,Sensor,AQD 12737,,
A00793,,WAVSS S/N,Sensor,5271,,
,,MOPAK S/N,,4220.11856,,
A00241,,ADCP S/N,Sensor,19024,,
A00129,,CTDBP S/N,Sensor,16P71879-7243,,
A01691,,DOSTA S/N,Sensor,482,,
A01686,,FLORT S/N,Sensor,1303,,
A01661,,NUTNR S/N,Sensor,244,,
,,NUTNR Batt S/N,,,,
A00288,,OPTAA S/N,Sensor,ACS-135,,
,,PCO2W S/N,,,,
A00249,,PHSEN S/N,Sensor,P0072,,
A01677,,SPKIR S/N,Sensor,296,,
A01023,,VELPT S/N,Sensor,AQD 11814,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
,,ADCP S/N,,,,
,,CAMDS S/N,,,,
,,CTDBP S/N,,,,
,,DOSTA S/N,,,,
,,OPTAA S/N,,,,
,,PCO2W S/N,,,,
,,PHSEN S/N,,,,
,,PRESF S/N,,,,
,,VELPT S/N,,,,
,,VEL3D S/N,,,,
,,ZPLSC S/N,,,,
