OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00278,CE04OSPS-PC01B,,Mooring,CE04OSPS-PC01B,7/1/2014,
ATAPL-66662-00009,,CTDPF S/N,Sensor,16-50018,,
A00425,,DOSTA S/N,Sensor,215,,
A00626,,PCO2W S/N,Sensor,C0078,,
ATOSU-63259-00001,,ZPLSC S/N,Sensor,3,,
,,,,,,
N00279,CE04OSPS-SF01B,,Mooring,CE04OSPS-SF01B,7/1/2014,
A00658,,PCO2W S/N,Sensor,C0079,,
A00629,,PHSEN S/N,Sensor,P0115,,
N00758,,CTDPF S/N,Sensor,43-2853,,
A00238,,VELPT S/N,Sensor,AQD 8399,,
N00686,,NUTNR S/N,Sensor,344,,
,,NUTNR Batt S/N,,,,
A00434,,SPKIR S/N,Sensor,241,,
N00685,,CTDPF S/N,Sensor,16-50019,,
A00695,,FLORT S/N,Sensor,1150,,
N00759,,PARAD S/N,Sensor,434,,
N00684,,PHSEN S/N,Sensor,P0131,,
A00131,,OPTAA S/N,Sensor,ACS-128,,
