OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00202,CP04OSSM-00001,,Mooring,CP04OSSM-00001,12/12/2014,
,,FDCHP (anemometer) S/N,,N/A,,
,,FDCHP (housing) S/N,,N/A,,
N00753,,METBK-Log S/N,Sensor,LGR016,,
A00749,,METBK-BPR S/N,Sensor,256,,
A00121,,METBK-CT S/N,Sensor,37-11001,,
A00486,,METBK-HRH S/N,Sensor,HRH275,,
A00717,,METBK-LWR S/N,Sensor,BPR241,,
A00613,,METBK-PRC S/N,Sensor,PRC250,,
A00461,,METBK-SWR S/N,Sensor,SWR261,,
A00703,,METBK-WND S/N,Sensor,WND247,,
,,METBK-Log S/N,,N/A,,
,,METBK-BPR S/N,,N/A,,
,,METBK-CT S/N,,N/A,,
,,METBK-HRH S/N,,N/A,,
,,METBK-LWR S/N,,N/A,,
,,METBK-PRC S/N,,N/A,,
,,METBK-SWR S/N,,N/A,,
,,METBK-WND S/N,,N/A,,
A00519,,PCO2A S/N,Sensor,33-184-50A,,
,,VELPT S/N,,N/A,,
,,WAVSS S/N,,N/A,,
,,MOPAK S/N,,N/A,,
,,ADCP S/N,,N/A,,
A00699,,CTDBP S/N,Sensor,16-50004,,
A00861,,DOSTA S/N,Sensor,375,,
A00994,,FLORT S/N,Sensor,1221,,
A00880,,NUTNR S/N,Sensor,266,,
,,NUTNR Batt S/N,Sensor,332,,
A00599,,OPTAA S/N,Sensor,ACS-165,,
,,PCO2W S/N,,N/A,,
A00422,,PHSEN S/N,Sensor,P0098,,
A00859,,SPKIR S/N,Sensor,271,,
A00418,,VELPT S/N,Sensor,AQD 11417,,
A00764,,MFN AcousticRelease S/N,,46286,,
A00564,,MFN AcousticRelease S/N,,46283,,
,,ARM AcousticRelease S/N,,,,
A00816,,ADCP S/N,Sensor,21496,,
,,CAMDS S/N,,N/A,,
A00697,,CTDBP S/N,Sensor,16-50002,,
A00862,,DOSTA S/N,Sensor,376,,
A01084,,OPTAA S/N,Sensor,ACS-189,,
A01000,,PCO2W S/N,Sensor,C0097,,
A00423,,PHSEN S/N,Sensor,P0099,,
A00762,,PRESF S/N,Sensor,26P76848-1388,,
A00048,,VELPT S/N,Sensor,AQD 9952,,
,,VEL3D S/N,,N/A,,
,,ZPLSC S/N,,N/A,,
