OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A01217,GA05MOAS-GL493,,Platform,493,3/15/2015,
,,ADCP S/N,Sensor,,,
N00407,,FLORT S/N,Sensor,3553,,
N00408,,CTDGV S/N,Sensor,9211,,
N00409,,DOSTA S/N,Sensor,347,,
,,PARAD S/N,Sensor,,,
,,,,,,
A01219,GA05MOAS-GL494,,Platform,494,3/14/2015,
,,ADCP S/N,Sensor,,,
N00400,,FLORT S/N,Sensor,3554,,
N00401,,CTDGV S/N,Sensor,9214,,
N00403,,DOSTA S/N,Sensor,348,,
,,PARAD S/N,Sensor,,,
,,,,,,
A01218,GA05MOAS-GL495,,Platform,495,3/13/2015,
,,ADCP S/N,Sensor,,,
N00540,,FLORT S/N,Sensor,3578,,
N00541,,CTDGV S/N,Sensor,9209,,
N00542,,DOSTA S/N,Sensor,325,,
,,PARAD S/N,Sensor,,,
,,,,,,
A01203,GA05MOAS-GL496,,Platform,496,3/14/2015,
,,ADCP S/N,Sensor,,,
N00410,,FLORT S/N,Sensor,3577,,
N00411,,CTDGV S/N,Sensor,9207,,
N00412,,DOSTA S/N,Sensor,337,,
,,PARAD S/N,Sensor,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
N003454,,PARAD S/N,,50164,,
