CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
AT37-03,,,,CE02SHSM-RID26-01-ADCPTA000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-ADCPTA-19024,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-RID26-04-VELPTA000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-VELPTA-11775,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-RID26-06-PHSEND000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-PHSEND-00123,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-RID26-07-NUTNRB000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-NUTNRB-00288,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-RID26-08-SPKIRB000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-SPKIRB-00242,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-RID27-01-OPTAAD000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-OPTAAD-00168,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-RID27-02-FLORTD000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-FLORTD-01153,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-RID27-03-CTDBPC000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-CTDBPC-50011,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-RID27-04-DOSTAD000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-DOSTAD-00217,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-SBD11-01-MOPAK0000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-MOPAKA-432260,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-SBD11-02-HYDGN0000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-HYDGNA-42323,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-SBD11-04-VELPTA000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-VELPTA-12703,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-SBD11-06-METBKA000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-METBKA-00006,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-SBD12-03-HYDGN0000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-HYDGNA-42490,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-SBD12-04-PCO2AA000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-PCO2AA-00050,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-SBD12-05-WAVSSA000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-WAVSSA-05271,44.63929,-124.30404,,
AT37-03,,,,CE02SHSM-SBD12-08-FDCHPA000,4,1,2016-09-26T21:25:00,,CGMCE-02SHSM-00004,,CGINS-FDCHPA-00012,44.63929,-124.30404,,
