CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
,,,,CP05MOAS-GL340-00-ENG000000,3,1,,,A00284,,A00284,,,,
,,,,CP05MOAS-GL340-01-ADCPAM000,3,1,,,A00284,,N00031,,,,
,,,,CP05MOAS-GL340-02-FLORTM000,3,1,,,A00284,,N00032,,,,
,,,,CP05MOAS-GL340-03-CTDGVM000,3,1,,,A00284,,N00033,,,,
,,,,CP05MOAS-GL340-04-DOSTAM000,3,1,,,A00284,,N00034,,,,
,,,,CP05MOAS-GL340-05-PARADM000,3,1,,,A00284,,N00035,,,,
,,,,CP05MOAS-GL379-00-ENG000000,3,1,,,A00367,,OL000354,,,,
,,,,CP05MOAS-GL379-01-ADCPAM000,3,1,,,A00367,,N00043,,,,
,,,,CP05MOAS-GL379-02-FLORTM000,3,1,,,A00367,,N00044,,,,
,,,,CP05MOAS-GL379-03-CTDGVM000,3,1,,,A00367,,N00045,,,,
,,,,CP05MOAS-GL379-04-DOSTAM000,3,1,,,A00367,,N00046,,,,
,,,,CP05MOAS-GL379-05-PARADM000,3,1,,,A00367,,N00047,,,,
