OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments,,,,,,,,,,,,,,,,,,,,
N00295,RS01SLBS-MJ01A,,Mooring,SN0026,06/01/2015,,,,,,,,,,,,,,,,,,,,,
ATAPL-58328-00005,,RS01SLBS-MJ01A-05-OBSBBA102,Sensor,T1074,,,,,,,,,,,,,,,,,,,,,,
N00708,,RS01SLBS-MJ01A-05-HYDLFA101,Sensor,299470,,,,,,,,,,,,,,,,,,,,,,
ATAPL-67639-00004,,RS01SLBS-MJ01A-06-PRESTA101,Sensor,5471540-0030,,,,,,,,,,,,,,,,,,,,,,
ATAPL-67979-00004,,RS01SLBS-MJ01A-12-VEL3DB101,Sensor,10313,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
N00297,RS01SLBS-LJ01A,,Mooring,SN0010,06/01/2015,,,,,,,,,,,,,,,,,,,,,
N00709,,RS01SLBS-LJ01A-05-HPIESA101,Sensor,02,,,,,,,,,,,,,,,,,,,,,,
ATAPL-58324-00010,,RS01SLBS-LJ01A-09-HYDBBA102,Sensor,1363,,,,,,,,,,,,,,,,,,,,,,
ATAPL-68073-00004,,RS01SLBS-LJ01A-10-ADCPTE101,Sensor,23442,,,,,,,,,,,,,,,,,,,,,,
ATAPL-69943-00006,,RS01SLBS-LJ01A-11-OPTAAC103,Sensor,ACS-204,,,,,,,,,,,,,,,,,,,,,,
ATAPL-67627-00004,,RS01SLBS-LJ01A-12-CTDPFB101,Sensor,16-50119,,,,,,,,,,,,,,,,,,,,,,
N00711,,RS01SLBS-LJ01A-12-DOSTAD101,Sensor,474,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
