ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00001,,,FUEL CELL,PROTONEX,M250-B,630037-02,,20090826,15208.84,
A00002,,,,,,,,,,Missing from inventory
A00003,,,LOAD CELL U/W 3500  LBS TEST,SENSING SYST,10740-3C/3500,3,,20091009,7650,Missing from inventory
A00004,,,SOFTWARE FOR MRP SYSTEM 5 SEAT,MICROSOFT DYNAMICS,MRP SYSTEM,N/A,,20091210,25900,
A00005,,,,,,,,,,Missing from inventory
A00006,,,SOFTWARE AUTODESK VAULT (4),M2 TECHNOLOGIES,2010,A00006,,20090724,6140,
A00007,,,SOFTWARE AUTODESK VAULT (6),M2 TECHNOLOGIES,2010,A00007,,20091109,9210,
A00008,,,,,,,,,,Missing from inventory
A00009,,,SERVER FOR MRP W SUPPLIES,DELL,R510,FJ5PLL1,,20091222,17158.72,
A00010,,,SERVER FOR MRP W/SUPPLIES,DELL,R510,HK6SLL1,,20091222,5726.39,
A00011,,,OSCILLOSCOPE MIXED SIGNAL,TEKTRONIX,MSO2024,C00111,,20100202,5300,
A00012,,,,,,,,,,Missing from inventory
A00013,,,,,,,,,,Missing from inventory
A00014,,,,,,,,,,Missing from inventory
A00015,,,SOFTWARE PADS SCHEMATIC/PCB,TRILOGIC,PADS/PCB,SEE COMMENTS,,20100308,28352,
A00016,,,PRINTER DESIGNJET,HP,T1200,SCN9B62H016,,20100323,5285.48,
A00017,,,(5) AUTODESK VAULT MANF 2010,M2 TECHNOLOGIES INC,2010,N/A,,20100407,8125,
A00018,,,MODEM HYDRO ACOUSTIC,SIO,N/A,N/A,,20090629,47369,
A00019,,,ACOUSTIC RELEASE,ORE,8242XS,34580,,20110310,14500,
A00020,,,ACOUSTIC RELEASE,ORE,8242XS,34579,,20110310,14500,
A00021,,,ACOUSTIC RELEASE,ORE,8242XS,34578,,20110310,14500,
A00022,,,,,,,,,,Missing from inventory
A00023,Sensor,0,CTDMO SERIES Q (37IM),SEA-BIRD ELECTRONICS,SBE-37IM,37IM64183-8523,3.1,20110527,6200,
A00024,,,SOFTWARE FINITE ELEMENT ANALY,ANSYS,FEA,N/A,,20110323,6300,
A00025,Node,0,WFP COASTAL REFURBISHED,MCLANE,MMP-7,ML12714-01,,20110617,91556,
A00025.1,Sensor,0,WFP COASTAL REFURBISHED Electronics #1,MCLANE,MMP-7,ML12714-01,,20110617,0,
A00026,,,TRANSPONDER ACOUSTIC RELEASE,ORE,8242XS,34817,,20150604,13500,
A00027,,,TRANSPONDER ACOUSTIC RELEASE,ORE,8242XS,34815,,20110630,13500,
A00028,,,TRANSPONDER ACOUSTIC RELEASE,ORE,8242XS,34816,,20110630,13500,
A00029,,,TRANSCEIVER DECK UNIT,ORE,8011M,34843,,20110630,15000,
A00030,,,TRANSCEIVER DECK UNIT,ORE,8011M,34844,,20110630,15000,
A00031,,,CURRENT PROFILER  AWAC,NORTEK,AWAC 600KHZ,P23686,,20101112,19900,
A00032,,,BENTHIC EXPERIMENT PACKAGE,OSU,BEP,N/A,,20110630,41968.09,
A00033,,,BUOY SYSTEM CART POP UP,ORE OFF SHORE,POPUP,34775,,20110620,6983.74,
A00034,,,,,,,,,,Missing from inventory
A00035,,,,,,,,,,Missing from inventory
A00036,,,,,,,,,,Missing from inventory
A00037,,,,,,,,,,Missing from inventory
A00038,,,,,,,,,,Missing from inventory
A00039,,,COMPUTER WORKSTATION,DELL,T7500,1PVYNNI,,20101129,5229.63,Missing from inventory
A00040,,,COMPUTER WORKSTATION,DELL,T7500,1PTXNN1,,20101129,5229.63,Missing from inventory
A00041,,,LOAD CELL,FABRICATED,N/A,1,,20110310,9412.5,
A00042,,,PRINTER DESKJET,HP,T1200PS,CN13C4H00M,,20110425,9171.66,Missing from inventory
A00043,Platform,0,MOORING PIONEER COASTAL PROFIL,WHOI,AS02CPPM-00001,N/A,,20110919,523113,
A00044,Platform,0,MOORING PIONEER COASTAL SURFAC,WHOI,AS02CPSM-0001,N/A,,20110919,1729923,6/8/2012
A00045,Node,1,COASTAL GLIDER 1000M,TELEDYNE WEBB RESEARCH,CSG-1000,247,,20111007,201685,
A00046,,,LOAD CELL,FABRICATED,N/A,PN-11106-3,,20110310,9412.5,
A00047,,,LOAD ELECTRONIC PROGRAMMABLE,BK PRESION,8522,2.02E+15,,20120201,6975,
A00048,Sensor,0,VELPT SERIES B (AQUADOPP 3000M,NORTEK,AQUADOPP-3000M,AQD 9952,,20150604,11150,
A00049,Sensor,0,VELPT SERIES B (AQUADOPP 3000M,NORTEK,AQUADOPP-3000M,AQD 9984,3.37,20150604,11150,
A00050,Sensor,0,PCO2A SERIES A (PCO2/ATM-50A),PRO-OCEANUS,PCO2ATM-50A,31-124-50A,,20120228,28732,
A00051,Sensor,0,PRESF SERIES B (26PLUS),SEA-BIRD ELECTRONICS,26Plus,26P64515-1329,,20120405,13450,
A00052,Sensor,0,PRESF SERIES B (26 PLUS),SEA-BIRD ELECTRONICS,26Plus,26P64515-1328,,20120405,13450,
