ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments,MIO
ATAPL-71403-00001,ATAPL-71403-00001,Node,0,Cabled Deep Profiler Mooring Wire-Following Vehicle,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",UW-APL,71403,SN00001,N/A,20130723,58740,,University of Washington
ATAPL-71403-00002,ATAPL-71403-00002,Node,0,Cabled Deep Profiler Mooring Wire-Following Vehicle,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",UW-APL,71403,SN00002,N/A,20140409,59190,,University of Washington
ATAPL-71403-00003,ATAPL-71403-00003,Node,0,Cabled Deep Profiler Mooring Wire-Following Vehicle,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",UW-APL,71403,SN00003,N/A,20140409,59190,,University of Washington
ATAPL-71403-00004,ATAPL-71403-00004,Node,0,Cabled Deep Profiler Mooring Wire-Following Vehicle,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",UW-APL,71403,SN00004,N/A,20140421,59190,,University of Washington
ATAPL-71403-00005,ATAPL-71403-00005,Node,0,Cabled Deep Profiler Mooring Wire-Following Vehicle,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",UW-APL,71403,SN00005,N/A,20150428,59190,,University of Washington
ATAPL-71403-00006,ATAPL-71403-00006,Node,0,Cabled Deep Profiler Mooring Wire-Following Vehicle,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",UW-APL,71403,SN00006,N/A,20150428,59190,,University of Washington
ATAPL-71403-00007,ATAPL-71403-00007,Node,0,Cabled Deep Profiler Mooring Wire-Following Vehicle,"MMP Extended Frame (no sensors), Glass Flotation (2 spheres), Ti controller housing extended",UW-APL,71403,SN00007,N/A,20150428,59190,,University of Washington
ATAPL-71533-00001,ATAPL-71533-00001,Node,0,Cabled Deep Profiler Mooring Docking Station,DP Docking Station,UW-APL,71533,SN00001,,,,,University of Washington
ATAPL-71533-00002,ATAPL-71533-00002,Node,0,Cabled Deep Profiler Mooring Docking Station,DP Docking Station,UW-APL,71533,SN00002,,,,,University of Washington
ATAPL-71533-00003,ATAPL-71533-00003,Node,0,Cabled Deep Profiler Mooring Docking Station,DP Docking Station,UW-APL,71533,SN00003,,,,,University of Washington
ATAPL-71533-00004,ATAPL-71533-00004,Node,0,Cabled Deep Profiler Mooring Docking Station,DP Docking Station,UW-APL,71533,SN00004,,,,,University of Washington
ATAPL-71533-00005,ATAPL-71533-00005,Node,0,Cabled Deep Profiler Mooring Docking Station,DP Docking Station,UW-APL,71533,SN00005,,,,,University of Washington
CGVEH-AUVPNR-06263,,Node,1,Coastal Pioneer AUV 06263,Coastal AUV,Hydroid,REMUS 600,6263,,,,,Woods Hole Oceanographic Institution
CGVEH-AUVPNR-06264,,Node,1,Coastal Pioneer AUV 06264,Coastal AUV,Hydroid,REMUS 600,6264,,,,,Woods Hole Oceanographic Institution
CGVEH-CSPPCE-00001,N00121,Node,0,Coastal Surface Piercing Profiler Controller,"Profiler, Coastal Surface Piercing",WET Labs,AMP-FAS-540601,WLP-001,,20130630,147880.86,,Oregon State University
CGVEH-CSPPCE-00002,N00122,Node,0,Coastal Surface Piercing Profiler Controller,"Profiler, Coastal Surface Piercing",WET Labs,AMP-FAS-540601,WLP-002,,20140630,310000,,Oregon State University
CGVEH-CSPPCE-00003,N00123,Node,0,Coastal Surface Piercing Profiler Controller,"Profiler, Coastal Surface Piercing",WET Labs,AMP-FAS-540601,WLP-003,,20140616,310000,,Oregon State University
CGVEH-CSPPCE-00006,N00126,Node,0,Coastal Surface Piercing Profiler Controller,Cabled Profiler Sensor Pod w/Instrument,WET Labs,AMP-FAS-540601,WLP-006,,20140929,273349,,Oregon State University
