DESCRIPTION OF EQUIPMENT,Manufacturer,Model
Coastal Glider #,Teledyne Webb,ASSY 4335-1000
Coastal Glider #,Teledyne Webb,ASSY 4335-200
Coastal Glider #,Teledyne Webb,CSG-0200
Coastal Glider #,Teledyne Webb,CSG-1000
Coastal Glider #,Teledyne Webb,DG-1000
Open Ocean Glider #,Teledyne Webb,ASSY 4495
Global Profiling Glider #,Teledyne Webb,ASSY 302392-3
Coastal Wire-Following Profiler,McLane,MMP-7
Global Wire-Following Profiler,McLane,MMP-210-3512
Coastal Surface Piercing Profiler Controller,WET Labs,AMP-FAS-540601
