DESCRIPTION OF EQUIPMENT,Manufacturer,Model
Cabled ASHES Vent Field: Medium Power Junction Box,UW-APL,RS03ASHS-MJ03B
Cabled ASHES Vent Field: Primary Node,UW-APL,RS03ASHS-PN03B
Cabled Axial Base Deep Profiler Mooring: Deep Profiler,UW-APL,RS03AXPD-DP03A
Cabled Axial Base Seafloor: Low Voltage Node,UW-APL,RS03AXBS-LV03A
Cabled Axial Base Seafloor: Low Power Junction Box,UW-APL,RS03AXBS-LJ03A
Cabled Axial Base Seafloor: Medium Power Junction Box,UW-APL,RS03AXBS-MJ03A
Cabled Axial Base Shallow Profiler Mooring: Platform Interface Controller,UW-APL,RS03AXPS-PC03A
Cabled Axial Base Shallow Profiler Mooring: Science Pod,UW-APL,RS03AXPS-SF03A
Cabled Central Caldera: Medium Power Junction Box,UW-APL,RS03CCAL-MJ03F
Cabled Eastern Caldera: Medium Power Junction Box,UW-APL,RS03ECAL-MJ03E
Cabled International District Vent Field 1: Medium Power Junction Box,UW-APL,RS03INT1-MJ03C
Cabled International District Vent Field 2: Medium Power Junction Box,UW-APL,RS03INT2-MJ03D
Cabled Oregon Slope Base Deep Profiler Mooring: Deep Profiler,UW-APL,RS01SBPD-DP01A
Cabled Oregon Slope Base Deep Profiler Mooring: Profiler Docking Station,UW-APL,RS01SBPD-PD01A
Cabled Oregon Slope Base Seafloor: Low Power Junction Box,UW-APL,RS01SLBS-LJ01A
Cabled Oregon Slope Base Seafloor: Low Voltage Node,UW-APL,RS01SLBS-LV01A
Cabled Oregon Slope Base Seafloor: Medium Power Junction Box,UW-APL,RS01SLBS-MJ01A
Cabled Oregon Slope Base Shallow Profiler Mooring: Platform Interface Controller,UW-APL,RS01SBPS-PC01A
Cabled Oregon Slope Base Shallow Profiler Mooring: Science Pod,UW-APL,RS01SBPS-SF01A
Cabled Southern Hydrate Summit 1 Seafloor: Low Power Junction Box,UW-APL,RS01SUM1-LJ01B
Cabled Southern Hydrate Summit 1 Seafloor: Low Voltage Node,UW-APL,RS01SUM1-LV01B
Cabled Southern Hydrate Summit 1 Seafloor: Primary Node,UW-APL,RS01SUM1-PN01B
Cabled Southern Hydrate Summit 1 Seafloor: Medium Power Junction Box,UW-APL,RS01SUM2-MJ01B
Coastal Endurance Gliders,Teledyne Webb,CE05MOAS
Coastal Endurance Oregon Inshore Surface Mooring,WHOI,CE01ISSM
Coastal Endurance Oregon Inshore Surface Piercing Profiler Mooring,WHOI,CE01ISSP
