ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments,MIO
#ATAPL-69140-001-120-1,ATAPL-69140-001-120-1,Sensor,0,Shallow Profiler Winch Controller,Winch Controller,APL,Winch Controller,120,,,,RS01SBPS-SC01A-00-WINCH,University of Washington
#ATAPL-69140-001-120-2,ATAPL-69140-001-120-2,Sensor,0,Shallow Profiler Winch Controller Node Controller,Node Controller,APL,Node Controller,120,,,,RS01SBPS-SC01A-00-ENG,University of Washington
A00835,A00835,Sensor,0,SENSOR CTD,SENSOR CTD,Sea-Bird Electronics,SBE 52-MP,138,,20140128,9966,,
A00838,A00838,Sensor,0,FLUOROMETER,FLUOROMETER,WET Labs,FLCDRTD (CDOM),3400,,20140128,6665,UW Claims they have asset,
A01061,A01061,Sensor,0,SONAR BIO ACOUSTIC,SONAR BIO ACOUSTIC,Kongsberg Underwater Technology Inc,CLIN 001,S/N 1,,20140423,173968,,
A01062,A01062,Sensor,0,SONAR BIO ACOUSTIC,SONAR BIO ACOUSTIC,Kongsberg Underwater Technology Inc,CLIN 001,S/N 2,,20140423,173968,,
A01073,A01073,Sensor,0,SONAR BIO ACOUSTIC,SONAR BIO ACOUSTIC,Kongsberg Underwater Technology Inc,CLIN 001,S/N 3,,20140423,173968,,
ATAPL-58315-00001,ATAPL-58315-00001,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series D,ADCP D-WHM150-1500 Quartermaster (ADCPT-D),Teledyne RDI,WHM150-1500,18478,,20120928,35534,,University of Washington
ATAPL-58315-00002,ATAPL-58315-00002,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series D,ADCP D-WHM150-1500 Quartermaster (ADCPT-D) (O&M),Teledyne RDI,WHM150-1500,18974,,20130118,35534,,University of Washington
ATAPL-58315-00003,ATAPL-58315-00003,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series D,ADCP D-WHM150-1500 Quartermaster (ADCPT-D),Teledyne RDI,WHM150-1500,18980,,20130118,35534,,University of Washington
ATAPL-58315-00004,ATAPL-58315-00004,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series D,ADCP D-WHM150-1500 Quartermaster (ADCPT-D),Teledyne RDI,WHM150-1500,23338,,20150430,37696,,University of Washington
