ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00001,A00001,,,FUEL CELL,FUEL CELL,PROTONEX,M250-B,630037-02,,20090826,15208.84,
A00002,A00002,,,,,,,,,,,Missing from inventory
A00003,A00003,,,LOAD CELL U/W 3500  LBS TEST,LOAD CELL U/W 3500  LBS TEST,SENSING SYST,10740-3C/3500,3,,20091009,7650,Missing from inventory
A00004,A00004,,,SOFTWARE FOR MRP SYSTEM 5 SEAT,SOFTWARE FOR MRP SYSTEM 5 SEAT,MICROSOFT DYNAMICS,MRP SYSTEM,N/A,,20091210,25900,
A00005,A00005,,,,,,,,,,,Missing from inventory
A00006,A00006,,,SOFTWARE AUTODESK VAULT (4),SOFTWARE AUTODESK VAULT (4),M2 TECHNOLOGIES,2010,A00006,,20090724,6140,
A00007,A00007,,,SOFTWARE AUTODESK VAULT (6),SOFTWARE AUTODESK VAULT (6),M2 TECHNOLOGIES,2010,A00007,,20091109,9210,
A00008,A00008,,,,,,,,,,,Missing from inventory
A00009,A00009,,,SERVER FOR MRP W SUPPLIES,SERVER FOR MRP W SUPPLIES,DELL,R510,FJ5PLL1,,20091222,17158.72,
A00010,A00010,,,SERVER FOR MRP W/SUPPLIES,SERVER FOR MRP W/SUPPLIES,DELL,R510,HK6SLL1,,20091222,5726.39,
A00011,A00011,,,OSCILLOSCOPE MIXED SIGNAL,OSCILLOSCOPE MIXED SIGNAL,TEKTRONIX,MSO2024,C00111,,20100202,5300,
A00012,A00012,,,,,,,,,,,Missing from inventory
A00013,A00013,,,,,,,,,,,Missing from inventory
A00014,A00014,,,,,,,,,,,Missing from inventory
A00015,A00015,,,SOFTWARE PADS SCHEMATIC/PCB,SOFTWARE PADS SCHEMATIC/PCB,TRILOGIC,PADS/PCB,SEE COMMENTS,,20100308,28352,
A00016,A00016,,,PRINTER DESIGNJET,PRINTER DESIGNJET,HP,T1200,SCN9B62H016,,20100323,5285.48,
A00017,A00017,,,(5) AUTODESK VAULT MANF 2010,(5) AUTODESK VAULT MANF 2010,M2 TECHNOLOGIES INC,2010,N/A,,20100407,8125,
A00018,A00018,,,MODEM HYDRO ACOUSTIC,MODEM HYDRO ACOUSTIC,SIO,N/A,N/A,,20090629,47369,
A00019,A00019,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,ORE,8242XS,34580,,20110310,14500,
A00020,A00020,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,ORE,8242XS,34579,,20110310,14500,
A00021,A00021,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,ORE,8242XS,34578,,20110310,14500,
A00022,A00022,,,,,,,,,,,Missing from inventory
A00024,A00024,,,SOFTWARE FINITE ELEMENT ANALY,SOFTWARE FINITE ELEMENT ANALY,ANSYS,FEA,N/A,,20110323,6300,
A00026,A00026,,,TRANSPONDER ACOUSTIC RELEASE,TRANSPONDER ACOUSTIC RELEASE,ORE,8242XS,34817,,20150604,13500,
A00027,A00027,,,TRANSPONDER ACOUSTIC RELEASE,TRANSPONDER ACOUSTIC RELEASE,ORE,8242XS,34815,,20110630,13500,
A00028,A00028,,,TRANSPONDER ACOUSTIC RELEASE,TRANSPONDER ACOUSTIC RELEASE,ORE,8242XS,34816,,20110630,13500,
A00029,A00029,,,TRANSCEIVER DECK UNIT,TRANSCEIVER DECK UNIT,ORE,8011M,34843,,20110630,15000,
A00030,A00030,,,TRANSCEIVER DECK UNIT,TRANSCEIVER DECK UNIT,ORE,8011M,34844,,20110630,15000,
A00031,A00031,,,CURRENT PROFILER  AWAC,CURRENT PROFILER  AWAC,NORTEK,AWAC 600KHZ,P23686,,20101112,19900,
A00032,A00032,,,BENTHIC EXPERIMENT PACKAGE,BENTHIC EXPERIMENT PACKAGE,OSU,BEP,N/A,,20110630,41968.09,
A00033,A00033,,,BUOY SYSTEM CART POP UP,BUOY SYSTEM CART POP UP,ORE OFF SHORE,POPUP,34775,,20110620,6983.74,
A00034,A00034,,,,,,,,,,,Missing from inventory
A00035,A00035,,,,,,,,,,,Missing from inventory
A00036,A00036,,,,,,,,,,,Missing from inventory
A00037,A00037,,,,,,,,,,,Missing from inventory
A00038,A00038,,,,,,,,,,,Missing from inventory
A00039,A00039,,,COMPUTER WORKSTATION,COMPUTER WORKSTATION,DELL,T7500,1PVYNNI,,20101129,5229.63,Missing from inventory
A00040,A00040,,,COMPUTER WORKSTATION,COMPUTER WORKSTATION,DELL,T7500,1PTXNN1,,20101129,5229.63,Missing from inventory
A00041,A00041,,,LOAD CELL,LOAD CELL,FABRICATED,N/A,1,,20110310,9412.5,
A00042,A00042,,,PRINTER DESKJET,PRINTER DESKJET,HP,T1200PS,CN13C4H00M,,20110425,9171.66,Missing from inventory
A00046,A00046,,,LOAD CELL,LOAD CELL,FABRICATED,N/A,PN-11106-3,,20110310,9412.5,
A00047,A00047,,,LOAD ELECTRONIC PROGRAMMABLE,LOAD ELECTRONIC PROGRAMMABLE,BK PRESION,8522,2.02E+15,,20120201,6975,
A00053,A00053,,,"COMPUTER SERVER, SECURE SYNC","COMPUTER SERVER, SECURE SYNC",SPECTRACOM,1200-093,1136,,20111004,6166,
A00090,A00090,,,,,,,,,,,Missing from inventory
A00091,A00091,,,,,,,,,,,Missing from inventory
A00099,A00099,,,BUOYANCY BASIN,BUOYANCY BASIN,M&W FIBERGLASS INC,OSU CONSTRUCTED,N/A,,20120501,7184.03,
A00100,A00100,,,BOUY SYSTEM CART POP UP,BOUY SYSTEM CART POP UP,ORE OFF SHORE,POPUP,34842,,20110705,6983.74,
A00180,A00180,,,COASTAL GLIDER 200M,COASTAL GLIDER 200M,TELEDYNE WEBB RESEARCH,ASSY 4335-200,335,,20130125,186935,Missing from inventory
A00208,A00208,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XC,45266,,20130204,11070,
A00209,A00209,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45267,,20130204,11070,
A00210,A00210,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45268,,20130204,11070,
A00211,A00211,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45269,,20130204,11070,
A00212,A00212,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45270,,20130204,11070,
A00213,A00213,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45271,,20130204,11070,
A00214,A00214,,,ACOUSTIC RELEASE  (SIO),ACOUSTIC RELEASE  (SIO),EdgeTech,8242XS,45272,,20130204,11070,
A00215,A00215,,,ACOUSTIC RELEASE  (SIO),ACOUSTIC RELEASE  (SIO),EdgeTech,8242XS,45273,,20130204,11070,
A00216,A00216,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45274,,20130204,11070,
A00217,A00217,,,ACOUSTIC RELEASE (SIO),ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45275,,20130204,11070,
A00251,A00251,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00252,A00252,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00253,A00253,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20120227,7235,
A00254,A00254,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
A00255,A00255,,,SUBMERSIBLE BUOY BATTERY CHASS,SUBMERSIBLE BUOY BATTERY CHASS,STAR ENGINEERING,3701-00142-00001,N/A,,20130227,7235,
