serial,name,value,notes
16-50154,CC_a0,0.001238262,
16-50154,CC_a1,0.00027805,
16-50154,CC_a2,-1.43199e-06,
16-50154,CC_a3,1.9101e-07,
16-50154,CC_cpcor,-9.57e-08,
16-50154,CC_ctcor,3.25e-06,
16-50154,CC_g,-0.982768041,
16-50154,CC_h,0.15189743,
16-50154,CC_i,-0.000190004,
16-50154,CC_j,3.6251e-05,
16-50154,CC_pa0,-3.55648858,
16-50154,CC_pa1,0.000628658,
16-50154,CC_pa2,1.03356e-11,
16-50154,CC_ptca0,513610.17,
16-50154,CC_ptca1,-217.385314,
16-50154,CC_ptca2,-1.19695191,
16-50154,CC_ptcb0,25.005625,
16-50154,CC_ptcb1,-0.000275,
16-50154,CC_ptcb2,0,
16-50154,CC_ptempa0,130.732853,
16-50154,CC_ptempa1,-40.099921,
16-50154,CC_ptempa2,-0.344803455,
