serial,name,value,notes
16-50003,CC_a0,1.262364e-03,source_file 3305-00102-00245-A_SN_16-50003_QCT_Results_CTDBP-C.txt
16-50003,CC_a1,2.736917e-04,
16-50003,CC_a2,-1.106052e-06,
16-50003,CC_a3,1.823946e-07,
16-50003,CC_cpcor,-9.570000e-08,
16-50003,CC_ctcor,3.250000e-06,
16-50003,CC_g,-9.767493e-01,
16-50003,CC_h,1.365082e-01,
16-50003,CC_i,-2.073884e-04,
16-50003,CC_j,3.402508e-05,
16-50003,CC_pa0,-1.514275e-02,
16-50003,CC_pa1,4.882149e-04,
16-50003,CC_pa2,-6.266645e-12,
16-50003,CC_ptca0,5.246052e+05,
16-50003,CC_ptca1,1.158847e+00,
16-50003,CC_ptca2,-1.220334e-01,
16-50003,CC_ptcb0,2.502750e+01,
16-50003,CC_ptcb1,-9.000000e-04,
16-50003,CC_ptcb2,0.000000e+00,
16-50003,CC_ptempa0,-6.002572e+01,
16-50003,CC_ptempa1,5.486844e+01,
16-50003,CC_ptempa2,-6.452303e-01,
