serial,name,value,notes
16-50014,CC_a0,0.001271243,
16-50014,CC_a1,0.0002747418,
16-50014,CC_a2,-1.538476e-06,
16-50014,CC_a3,1.962203e-07,
16-50014,CC_cpcor,-9.57e-08,
16-50014,CC_ctcor,3.25e-06,
16-50014,CC_g,-0.9825525,
16-50014,CC_h,0.1389213,
16-50014,CC_i,-0.0002521524,
16-50014,CC_j,3.757234e-05,
16-50014,CC_pa0,0.1858051,
16-50014,CC_pa1,0.0004888089,
16-50014,CC_pa2,-6.228348e-12,
16-50014,CC_ptca0,524685.7,
16-50014,CC_ptca1,37.23276,
16-50014,CC_ptca2,-0.9106875,
16-50014,CC_ptcb0,24.99387,
16-50014,CC_ptcb1,-2.5e-05,
16-50014,CC_ptcb2,0,
16-50014,CC_ptempa0,-58.45279,
16-50014,CC_ptempa1,53.84728,
16-50014,CC_ptempa2,-0.5475829,
