serial,name,value,notes
16-50004,CC_a0,0.001282499,
16-50004,CC_a1,0.0002696216,
16-50004,CC_a2,-8.574909e-07,
16-50004,CC_a3,1.705948e-07,
16-50004,CC_cpcor,-9.57e-08,
16-50004,CC_ctcor,3.25e-06,
16-50004,CC_g,-0.9883398,
16-50004,CC_h,0.1396095,
16-50004,CC_i,-0.0002020129,
16-50004,CC_j,3.389704e-05,
16-50004,CC_pa0,2.213124,
16-50004,CC_pa1,0.002653693,
16-50004,CC_pa2,2.115838e-11,
16-50004,CC_ptca0,524428.3,
16-50004,CC_ptca1,57.63313,
16-50004,CC_ptca2,-0.9175678,
16-50004,CC_ptcb0,25.02037,
16-50004,CC_ptcb1,-0.000325,
16-50004,CC_ptcb2,0,
16-50004,CC_ptempa0,-74.47196,
16-50004,CC_ptempa1,50.4331,
16-50004,CC_ptempa2,-0.4270463,
