serial,name,value,notes
16-50061,CC_a0,0.00123989,
16-50061,CC_a1,0.0002812243,
16-50061,CC_a2,-2.035512e-06,
16-50061,CC_a3,2.17196e-07,
16-50061,CC_cpcor,-9.57e-08,
16-50061,CC_ctcor,3.25e-06,
16-50061,CC_g,-0.9743689,
16-50061,CC_h,0.1525839,
16-50061,CC_i,-0.0002043709,
16-50061,CC_j,3.776429e-05,
16-50061,CC_pa0,0.002300336,
16-50061,CC_pa1,0.0004897626,
16-50061,CC_pa2,-5.194193e-12,
16-50061,CC_ptca0,524593.7,
16-50061,CC_ptca1,6.869682,
16-50061,CC_ptca2,-0.2093598,
16-50061,CC_ptcb0,24.94488,
16-50061,CC_ptcb1,0.000175,
16-50061,CC_ptcb2,0,
16-50061,CC_ptempa0,-67.19514,
16-50061,CC_ptempa1,53.85675,
16-50061,CC_ptempa2,-0.6133229,
