serial,name,value,notes
16-50116,CC_a0,1.26E-03,
16-50116,CC_a1,2.72E-04,
16-50116,CC_a2,-8.55E-07,
16-50116,CC_a3,1.71E-07,
16-50116,CC_cpcor,-9.57E-08,
16-50116,CC_ctcor,3.25E-06,
16-50116,CC_g,-9.86E-01,
16-50116,CC_h,1.55E-01,
16-50116,CC_i,-1.89E-04,
16-50116,CC_j,3.84E-05,
16-50116,CC_pa0,-4.23E+00,
16-50116,CC_pa1,6.40E-04,
16-50116,CC_pa2,9.43E-12,
16-50116,CC_ptca0,5.10E+05,
16-50116,CC_ptca1,-2.80E+02,
16-50116,CC_ptca2,-1.20E+00,
16-50116,CC_ptcb0,2.51E+01,
16-50116,CC_ptcb1,2.50E-04,
16-50116,CC_ptcb2,0.00E+00,
16-50116,CC_ptempa0,4.08E+01,
16-50116,CC_ptempa1,-4.40E+01,
16-50116,CC_ptempa2,-3.45E-01,
