serial,name,value,notes
16-50072,CC_a0,1.25E-03,
16-50072,CC_a1,2.74E-04,
16-50072,CC_a2,-9.77E-07,
16-50072,CC_a3,1.81E-07,
16-50072,CC_cpcor,-9.57E-08,
16-50072,CC_ctcor,3.25E-06,
16-50072,CC_g,-9.97E-01,
16-50072,CC_h,1.52E-01,
16-50072,CC_i,-1.34E-04,
16-50072,CC_j,3.24E-05,
16-50072,CC_pa0,-6.80E-01,
16-50072,CC_pa1,2.65E-03,
16-50072,CC_pa2,1.92E-11,
16-50072,CC_ptca0,5.24E+05,
16-50072,CC_ptca1,-1.70E+01,
16-50072,CC_ptca2,2.51E-01,
16-50072,CC_ptcb0,2.50E+01,
16-50072,CC_ptcb1,-3.75E-04,
16-50072,CC_ptcb2,0.00E+00,
16-50072,CC_ptempa0,-1.17E+02,
16-50072,CC_ptempa1,1.11E+02,
16-50072,CC_ptempa2,-1.80E+01,
