serial,name,value,notes
16-7230,CC_C1,9.74E+02,
16-7230,CC_C2,-5.27E-03,
16-7230,CC_C3,-1.26E-04,
16-7230,CC_D1,3.72E-02,
16-7230,CC_D2,0.00E+00,
16-7230,CC_T1,2.78E+01,
16-7230,CC_T2,-8.17E-05,
16-7230,CC_T3,1.03E-06,
16-7230,CC_T4,1.58E-09,
16-7230,CC_T5,0,
16-7230,CC_a0,1.25E-03,
16-7230,CC_a1,2.74E-04,
16-7230,CC_a2,-1.09E-06,
16-7230,CC_a3,1.78E-07,
16-7230,CC_cpcor,-9.57E-08,
16-7230,CC_ctcor,3.25E-06,
16-7230,CC_g,-9.92E-01,
16-7230,CC_h,1.39E-01,
16-7230,CC_i,-3.73E-04,
16-7230,CC_j,4.63E-05,
