serial,name,value,notes
16-7230,CC_C1,999.0941,
16-7230,CC_C2,-0.00556102,
16-7230,CC_C3,-0.000130274,
16-7230,CC_D1,0.03038,
16-7230,CC_D2,0,
16-7230,CC_T1,27.70606,
16-7230,CC_T2,-0.000104193,
16-7230,CC_T3,1.06E-06,
16-7230,CC_T4,1.56E-09,
16-7230,CC_T5,0,
16-7230,CC_a0,0.001268802,
16-7230,CC_a1,0.00027096,
16-7230,CC_a2,-8.13E-07,
16-7230,CC_a3,1.70E-07,
16-7230,CC_cpcor,-9.57E-08,
16-7230,CC_ctcor,3.25E-06,
16-7230,CC_g,-0.9788709,
16-7230,CC_h,0.1512588,
16-7230,CC_i,-0.000371397,
16-7230,CC_j,5.05E-05,
