serial,name,value,notes
1697116-7230,CC_C1,999.0941,
1697116-7230,CC_C2,-0.00556102,
1697116-7230,CC_C3,-0.000130274,
1697116-7230,CC_D1,0.03038,
1697116-7230,CC_D2,0,
1697116-7230,CC_T1,27.70606,
1697116-7230,CC_T2,-0.000104193,
1697116-7230,CC_T3,1.06286e-06,
1697116-7230,CC_T4,1.56172e-09,
1697116-7230,CC_T5,0,
1697116-7230,CC_a0,0.001268802,
1697116-7230,CC_a1,0.0002709596,
1697116-7230,CC_a2,-8.126484e-07,
1697116-7230,CC_a3,1.699432e-07,
1697116-7230,CC_cpcor,-9.57e-08,
1697116-7230,CC_ctcor,3.25e-06,
1697116-7230,CC_g,-0.9788709,
1697116-7230,CC_h,0.1512588,
1697116-7230,CC_i,-0.0003713968,
1697116-7230,CC_j,5.045781e-05,
