serial,name,value,notes
16P71879-7249,CC_C1,-4643.78,
16P71879-7249,CC_C2,-0.075401,
16P71879-7249,CC_C3,0.000885273,
16P71879-7249,CC_D1,0.06781201,
16P71879-7249,CC_D2,0,
16P71879-7249,CC_T1,30.05444,
16P71879-7249,CC_T2,-0.000389207,
16P71879-7249,CC_T3,2.67025e-06,
16P71879-7249,CC_T4,1.71878e-09,
16P71879-7249,CC_T5,0,
16P71879-7249,CC_a0,0.001250528,
16P71879-7249,CC_a1,0.0002728514,
16P71879-7249,CC_a2,-7.843947e-07,
16P71879-7249,CC_a3,1.654197e-07,
16P71879-7249,CC_cpcor,-9.57e-08,
16P71879-7249,CC_ctcor,3.25e-06,
16P71879-7249,CC_g,-0.9809429,
16P71879-7249,CC_h,0.1525458,
16P71879-7249,CC_i,-0.0003693526,
16P71879-7249,CC_j,5.050751e-05,
