serial,name,value,notes
16-7231,CC_C1,-4642.673,
16-7231,CC_C2,-0.00461164,
16-7231,CC_C3,0.000892119,
16-7231,CC_D1,0.070248,
16-7231,CC_D2,0,
16-7231,CC_T1,30.22595,
16-7231,CC_T2,-0.000154972,
16-7231,CC_T3,2.68E-06,
16-7231,CC_T4,1.71E-09,
16-7231,CC_T5,0,
16-7231,CC_a0,0.001281506,
16-7231,CC_a1,0.000265689,
16-7231,CC_a2,-7.57E-08,
16-7231,CC_a3,1.37E-07,
16-7231,CC_cpcor,-9.57E-08,
16-7231,CC_ctcor,3.25E-06,
16-7231,CC_g,-0.9764113,
16-7231,CC_h,0.1369978,
16-7231,CC_i,-0.000339501,
16-7231,CC_j,4.32E-05,
