serial,name,value,notes
16-7249,CC_C1,-4643.78,
16-7249,CC_C2,-0.075401,
16-7249,CC_C3,0.000885273,
16-7249,CC_D1,0.06781201,
16-7249,CC_D2,0,
16-7249,CC_T1,30.05444,
16-7249,CC_T2,-0.000389207,
16-7249,CC_T3,2.67E-06,
16-7249,CC_T4,1.72E-09,
16-7249,CC_T5,0,
16-7249,CC_a0,0.001250528,
16-7249,CC_a1,0.000272851,
16-7249,CC_a2,-7.84E-07,
16-7249,CC_a3,1.65E-07,
16-7249,CC_cpcor,-9.57E-08,
16-7249,CC_ctcor,3.25E-06,
16-7249,CC_g,-0.9809429,
16-7249,CC_h,0.1525458,
16-7249,CC_i,-0.000369353,
16-7249,CC_j,5.05E-05,
