serial,name,value,notes
16-50076,CC_a0,0.001250235,
16-50076,CC_a1,0.0002723887,
16-50076,CC_a2,-7.944224e-07,
16-50076,CC_a3,1.691005e-07,
16-50076,CC_cpcor,-9.57e-08,
16-50076,CC_ctcor,3.25e-06,
16-50076,CC_g,-0.9765324,
16-50076,CC_h,0.1486743,
16-50076,CC_i,-0.0001042368,
16-50076,CC_j,2.967766e-05,
16-50076,CC_pa0,-2.786029,
16-50076,CC_pa1,0.002634736,
16-50076,CC_pa2,1.967046e-11,
16-50076,CC_ptca0,524694.3,
16-50076,CC_ptca1,-64.37001,
16-50076,CC_ptca2,0.8487111,
16-50076,CC_ptcb0,25.17413,
16-50076,CC_ptcb1,-0.000175,
16-50076,CC_ptcb2,0,
16-50076,CC_ptempa0,-117.0902,
16-50076,CC_ptempa1,110.8357,
16-50076,CC_ptempa2,-17.98861,
