serial,name,value,notes
16-50158,CC_a0,0.001254262,
16-50158,CC_a1,0.0002749344,
16-50158,CC_a2,-1.151898e-06,
16-50158,CC_a3,1.804676e-07,
16-50158,CC_cpcor,-9.57e-08,
16-50158,CC_ctcor,3.25e-06,
16-50158,CC_g,-0.9862926,
16-50158,CC_h,0.1524531,
16-50158,CC_i,-0.0001468156,
16-50158,CC_j,3.372385e-05,
16-50158,CC_pa0,3.027442,
16-50158,CC_pa1,0.003169117,
16-50158,CC_pa2,9.259408e-11,
16-50158,CC_ptca0,525855.2,
16-50158,CC_ptca1,22.974,
16-50158,CC_ptca2,0.7904986,
16-50158,CC_ptcb0,24.85825,
16-50158,CC_ptcb1,-0.00035,
16-50158,CC_ptcb2,0,
16-50158,CC_ptempa0,445.6232,
16-50158,CC_ptempa1,-253.5012,
16-50158,CC_ptempa2,35.04994,
