serial,name,value,notes
37-12413,CC_a0,-0.0001601882,
37-12413,CC_a1,0.00031822,
37-12413,CC_a2,-5.383636e-06,
37-12413,CC_a3,2.281359e-07,
37-12413,CC_cpcor,-9.57e-08,
37-12413,CC_ctcor,3.25e-06,
37-12413,CC_g,-0.9808261,
37-12413,CC_h,0.1557011,
37-12413,CC_i,-0.0001999478,
37-12413,CC_j,4.000449e-05,
37-12413,CC_p_range,1450,
37-12413,CC_pa0,0.1603754,
37-12413,CC_pa1,0.004603016,
37-12413,CC_pa2,-1.439615e-11,
37-12413,CC_ptca0,524695.3,
37-12413,CC_ptca1,1.74442,
37-12413,CC_ptca2,-0.0339887,
37-12413,CC_ptcb0,25.4345,
37-12413,CC_ptcb1,-0.0017,
37-12413,CC_ptcb2,0,
37-12413,CC_ptempa0,-66.17461,
37-12413,CC_ptempa1,0.05150676,
37-12413,CC_ptempa2,-3.208974e-07,
37-12413,CC_wbotc,3.3174e-07,
