serial,name,value,notes
37-12372,CC_a0,-5.37424e-05,
37-12372,CC_a1,0.0002976657,
37-12372,CC_a2,-3.853625e-06,
37-12372,CC_a3,1.838741e-07,
37-12372,CC_cpcor,-9.57e-08,
37-12372,CC_ctcor,3.25e-06,
37-12372,CC_g,-0.9652663,
37-12372,CC_h,0.1436033,
37-12372,CC_i,-8.38365e-05,
37-12372,CC_j,2.686377e-05,
37-12372,CC_p_range,1450,
37-12372,CC_pa0,0.24028,
37-12372,CC_pa1,0.004572871,
37-12372,CC_pa2,-1.304657e-11,
37-12372,CC_ptca0,524770.1,
37-12372,CC_ptca1,3.276259,
37-12372,CC_ptca2,-0.03516754,
37-12372,CC_ptcb0,25.32475,
37-12372,CC_ptcb1,0.00015,
37-12372,CC_ptcb2,0,
37-12372,CC_ptempa0,-67.02781,
37-12372,CC_ptempa1,0.05190843,
37-12372,CC_ptempa2,-5.112678e-07,
37-12372,CC_wbotc,1.9282e-07,
