serial,name,value,notes
37-13455,CC_a0,-0.0001752693,
37-13455,CC_a1,0.0003122385,
37-13455,CC_a2,-4.495385e-06,
37-13455,CC_a3,2.050986e-07,
37-13455,CC_cpcor,-9.57e-08,
37-13455,CC_ctcor,3.25e-06,
37-13455,CC_g,-0.9898162,
37-13455,CC_h,0.1365853,
37-13455,CC_i,-0.0001257908,
37-13455,CC_j,2.832553e-05,
37-13455,CC_p_range,5076,
37-13455,CC_pa0,0.08966919,
37-13455,CC_pa1,0.01625547,
37-13455,CC_pa2,-7.701067e-10,
37-13455,CC_ptca0,524387.4,
37-13455,CC_ptca1,-0.07675921,
37-13455,CC_ptca2,0.005687737,
37-13455,CC_ptcb0,25.04688,
37-13455,CC_ptcb1,-0.000225,
37-13455,CC_ptcb2,0,
37-13455,CC_ptempa0,205.2786,
37-13455,CC_ptempa1,-0.09356148,
37-13455,CC_ptempa2,1.853306e-07,
37-13455,CC_wbotc,3.4033e-07,
