serial,name,value,notes
37-12221,CC_a0,-8.221256e-005,
37-12221,CC_a1,3.002948e-004,
37-12221,CC_a2,-3.963569e-006,
37-12221,CC_a3,1.898066e-007,
37-12221,CC_cpcor,-9.57E-08,
37-12221,CC_ctcor,3.25E-06,
37-12221,CC_g,-9.813562e-001,
37-12221,CC_h,1.713517e-001,
37-12221,CC_i,-2.229957e-004,
37-12221,CC_j,4.554976e-005,
37-12221,CC_p_range,5076,
37-12221,CC_pa0,1.591365e+000,
37-12221,CC_pa1,1.592227e-002,
37-12221,CC_pa2,-6.665004e-010,
37-12221,CC_ptca0,5.244452e+005,
37-12221,CC_ptca1,5.364158e+000,
37-12221,CC_ptca2,-8.049238e-002,
37-12221,CC_ptcb0,2.528738e+001,
37-12221,CC_ptcb1,-2.525000e-003,
37-12221,CC_ptcb2,0.00E+00,
37-12221,CC_ptempa0,-7.196572e+001,
37-12221,CC_ptempa1,5.152187e-002,
37-12221,CC_ptempa2,-7.254002e-007,
37-12221,CC_wbotc,2.4355e-007,
