serial,name,value,notes
37-11477,CC_a0,-5.776041e-05,
37-11477,CC_a1,0.0002970928,
37-11477,CC_a2,-3.827843e-06,
37-11477,CC_a3,1.864652e-07,
37-11477,CC_cpcor,-9.57e-08,
37-11477,CC_ctcor,3.25e-06,
37-11477,CC_g,-0.9966019,
37-11477,CC_h,0.1428027,
37-11477,CC_i,-0.0002719779,
37-11477,CC_j,4.078893e-05,
37-11477,CC_p_range,1450,
37-11477,CC_pa0,0.1056151,
37-11477,CC_pa1,0.004425572,
37-11477,CC_pa2,-1.663539e-11,
37-11477,CC_ptca0,524801.1,
37-11477,CC_ptca1,1.14461,
37-11477,CC_ptca2,0.001622867,
37-11477,CC_ptcb0,25.433,
37-11477,CC_ptcb1,0.0004,
37-11477,CC_ptcb2,0.0,
37-11477,CC_ptempa0,-70.53537,
37-11477,CC_ptempa1,0.05065163,
37-11477,CC_ptempa2,-4.383899e-07,
37-11477,CC_wbotc,3.14956e-07,
