serial,name,value,notes
37-12935,CC_a0,-2.849760e-04,source_file 3305-00101-00940-A_SN_37-12935_QCT_Results_CTDMO-Q.txt
37-12935,CC_a1,3.474480e-04,
37-12935,CC_a2,-7.500203e-06,
37-12935,CC_a3,2.786915e-07,
37-12935,CC_cpcor,-9.570000e-08,
37-12935,CC_ctcor,3.250000e-06,
37-12935,CC_g,-9.928664e-01,
37-12935,CC_h,1.486750e-01,
37-12935,CC_i,-1.470380e-04,
37-12935,CC_j,3.574970e-05,
37-12935,CC_p_range,1450,
37-12935,CC_pa0,-2.365065e-01,
37-12935,CC_pa1,4.584784e-03,
37-12935,CC_pa2,-2.834190e-11,
37-12935,CC_ptca0,5.250595e+05,
37-12935,CC_ptca1,-5.364724e+00,
37-12935,CC_ptca2,1.387018e-01,
37-12935,CC_ptcb0,2.503500e+01,
37-12935,CC_ptcb1,-0.000000e+00,
37-12935,CC_ptcb2,0.000000e+00,
37-12935,CC_ptempa0,1.435421e+02,
37-12935,CC_ptempa1,-6.633316e-02,
37-12935,CC_ptempa2,4.744847e-08,
37-12935,CC_wbotc,2.900788e-07,
