serial,name,value,notes
37-13629,CC_a0,-0.0001409684,
37-13629,CC_a1,0.0003142846,
37-13629,CC_a2,-5.061697e-06,
37-13629,CC_a3,2.195558e-07,
37-13629,CC_cpcor,-9.57e-08,
37-13629,CC_ctcor,3.25e-06,
37-13629,CC_g,-0.9735694,
37-13629,CC_h,0.1385155,
37-13629,CC_i,-4.613766e-05,
37-13629,CC_j,2.276537e-05,
37-13629,CC_p_range,1450,
37-13629,CC_pa0,-0.9672104,
37-13629,CC_pa1,0.01630606,
37-13629,CC_pa2,-8.055433e-10,
37-13629,CC_ptca0,524439.5,
37-13629,CC_ptca1,-2.287878,
37-13629,CC_ptca2,-0.01331345,
37-13629,CC_ptcb0,24.98152,
37-13629,CC_ptcb1,0.0001,
37-13629,CC_ptcb2,0,
37-13629,CC_ptempa0,170.9573,
37-13629,CC_ptempa1,-0.1010449,
37-13629,CC_ptempa2,3.32633e-06,
37-13629,CC_wbotc,1.5718e-07,
