serial,name,value,notes
37-12567,CC_a0,-0.0001564846,
37-12567,CC_a1,0.0003088416,
37-12567,CC_a2,-4.278357e-06,
37-12567,CC_a3,1.983164e-07,
37-12567,CC_cpcor,-9.57e-08,
37-12567,CC_ctcor,3.25e-06,
37-12567,CC_g,-0.9680897,
37-12567,CC_h,0.1518558,
37-12567,CC_i,-0.0001408323,
37-12567,CC_j,3.31761e-05,
37-12567,CC_p_range,5076,
37-12567,CC_pa0,1.145903,
37-12567,CC_pa1,0.01583651,
37-12567,CC_pa2,-6.629555e-10,
37-12567,CC_ptca0,525353,
37-12567,CC_ptca1,5.097005,
37-12567,CC_ptca2,-0.08048233,
37-12567,CC_ptcb0,25.20713,
37-12567,CC_ptcb1,0.000625,
37-12567,CC_ptcb2,0,
37-12567,CC_ptempa0,-68.66552,
37-12567,CC_ptempa1,0.05139371,
37-12567,CC_ptempa2,-5.03134e-07,
37-12567,CC_wbotc,5.9167e-07,
